Station,Local authority,Managed by,Station code,Fare zone,Year opened,Category,Coordinates
Abbey Wood,Greenwich,TfL Rail[1],ABW,4,1849,C,51.4915°N 0.1229°E
Acton Central,Ealing,London Overground,ACC,3,1853,D,51.5088°N 0.2634°W
Acton Main Line[2],Ealing,TfL Rail,AML,3,1868,E,51.5169°N 0.2669°W
Albany Park,Bexley,Southeastern,AYP,5,1935,D,51.4358°N 0.1266°E
Alexandra Palace[3],Haringey,Great Northern,AAP,3,1873,D,51.5983°N 0.1197°W
Amersham,Buckinghamshireout-boundary,London Underground,AMR,9,1892,unlisted,51.6747°N 0.6088°W
Anerley,Bromley,London Overground,ANZ,4,1839,E,51.4125°N 0.0651°W
Balham,Wandsworth,Southern,BAL,3,1863,C,51.4426°N 0.1520°W
Banstead,Reigate and Bansteadout-boundary,Southern,BAD,6,1865,F,51.3292°N 0.2132°W
Barking,Barking and Dagenham,c2c,BKG,4,1854,B,51.5393°N 0.0817°E
Barnehurst,Bexley,Southeastern,BNH,6,1895,C,51.4648°N 0.1595°E
Barnes,Richmond upon Thames,South Western Railway,BNS,3,1846,C,51.4671°N 0.2420°W
Barnes Bridge,Richmond upon Thames,South Western Railway,BNI,3,1916,C,51.4722°N 0.2523°W
Battersea Park[4],Wandsworth,Southern,BAK,2,1865,D,51.4779°N 0.1477°W
Beckenham Hill,Lewisham,Thameslink,BEC,4,1892,E,51.4246°N 0.0161°W
Beckenham Junction,Bromley,Southeastern,BKJ,4,1857,C,51.4109°N 0.0257°W
Bellingham,Lewisham,Southeastern,BGM,3,1892,E,51.4342°N 0.0199°W
Belmont,Sutton,Southern,BLM,5,1865,F,51.3440°N 0.1986°W
Belvedere,Bexley,Southeastern,BVD,5,1859,E,51.4927°N 0.1524°E
Berrylands,Kingston upon Thames,South Western Railway,BRS,5,1933,E,51.3988°N 0.2803°W
Bethnal Green[5],Tower Hamlets,London Overground,BET,2,1872,F,51.5230°N 0.0595°W
Bexley,Bexley,Southeastern,BXY,6,1866,D,51.4403°N 0.1479°E
Bexleyheath[6],Bexley,Southeastern,BXH,5,1895,C,51.4635°N 0.1338°E
Bickley,Bromley,Southeastern,BKL,5,1858,D,51.3995°N 0.0441°E
Birkbeck,Bromley,Southern,BIK,4,1930,F,51.4039°N 0.0568°W
BlackfriarsLondon,City of London,Thameslink,BFR,1,1886,A,51.5116°N 0.1030°W
Blackheath,Lewisham,Southeastern,BKH,3,1849,C,51.4663°N 0.0064°E
Blackhorse Road,Waltham Forest,London Underground,BHO,3,1894,E,51.5866°N 0.0416°W
Bowes Park,Haringey,Great Northern,BOP,3/4,1880,E,51.6078°N 0.1209°W
Brentford,Hounslow,South Western Railway,BFD,4,1849,E,51.4875°N 0.3096°W
Brentwood,Brentwoodout-boundary,TfL Rail,BRE,9,1840,C,51.6137°N 0.3001°E
Brimsdown,Enfield,Greater Anglia,BMD,5,1884,E,51.6556°N 0.0301°W
Brixton,Lambeth,Southeastern,BRX,2,1862,E,51.4629°N 0.1132°W
Brockley,Lewisham,London Overground,BCY,2,1871,D,51.4645°N 0.0369°W
Bromley North,Bromley,Southeastern,BMN,4,1878,D,51.4088°N 0.0179°E
Bromley South,Bromley,Southeastern,BMS,5,1858,B,51.4004°N 0.0181°E
Brondesbury,Brent,London Overground,BSY,2,1860,E,51.5451°N 0.2020°W
Brondesbury Park,Brent,London Overground,BSP,2,1904,E,51.5407°N 0.2103°W
Broxbourne,Broxbourneout-boundary,Greater Anglia,BXB,B,1840,C,51.7483°N 0.0094°W
Bruce Grove,Haringey,London Overground,BCV,3,1872,E,51.5940°N 0.0704°W
Bushey,Watfordout-boundary,London Overground,BSH,8,1841,E,51.6440°N 0.3850°W
