images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
12,,True,"The Bouchon, Silk District, E1",https://media.onthemarket.com/properties/9174625/1313688679/image-0-480x320.jpg,https://media.onthemarket.com/properties/9174625/1313688679/image-0-480x320.webp,1,"Silk District is a new development located moments from Whitechapel Station and within walking distance to the City. The new Crossrail line will mean Silk District is only 3 minutes to Canary Wharf, 2 minutes to Liverpool Street and 10 minutes to Bond street making it perfectly situated for the...",['New build'],1 bedroom apartment for sale,9174625,/details/9174625/,https://media.onthemarket.com/properties/9174625/1313688679/image-0-480x320.jpg,"£556,000",True,True,/agents/contact/9174625/,/agents/contact/9174625/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22218,"JLL - London, New Homes",020 8022 7133
18,Guide price,True,"Admiralty House, 150 Vaughan Way, London, E1W",https://media.onthemarket.com/properties/3934045/1312306575/image-0-480x320.jpg,https://media.onthemarket.com/properties/3934045/1312306575/image-0-480x320.webp,1,"Premium three bedroom sub-penthouse level apartment with a generously-sized entertaining space, offering spectacular views of Tower Bridge, The City, Canary Wharf & The River Thames.",['New build'],3 bedroom flat for sale,3934045,/details/3934045/,https://media.onthemarket.com/properties/3934045/1312306575/image-0-480x320.jpg,"£2,250,000",True,True,/agents/contact/3934045/,/agents/contact/3934045/?form-name=details-contact,/agents/branch/savills-wapping/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22333,Savills - Wapping,020 8022 7306
11,,True,"Osborn St, The Osborn Apartments, Spitalfields, London, E1",https://media.onthemarket.com/properties/8932368/1333516333/image-0-480x320.jpg,https://media.onthemarket.com/properties/8932368/1333516333/image-0-480x320.webp,1,"Situated on the 1st floor, this two bedroom apartment with balcony is arranged over 745 sq ft .",['New build'],2 bedroom apartment for sale,8932368,/details/8932368/,https://media.onthemarket.com/properties/8932368/1333516333/image-0-480x320.jpg,"£765,000",True,True,/agents/contact/8932368/,/agents/contact/8932368/?form-name=details-contact,/agents/branch/fyfe-mcdade-london/,False,https://media.onthemarket.com/agents/companies/376/150611123351858/logo-100x65.jpg,5673,Fyfe Mcdade - London,020 8022 6893
14,,True,"Osborn St, The Osborn Apartments, Spitalfields, London, E1",https://media.onthemarket.com/properties/8932362/1333516317/image-0-480x320.jpg,https://media.onthemarket.com/properties/8932362/1333516317/image-0-480x320.webp,1,"Situated on the 4th floor, this one bedroom apartment is arranged over 624 sq ft and has views over Osborn Street.",['New build'],1 bedroom apartment for sale,8932362,/details/8932362/,https://media.onthemarket.com/properties/8932362/1333516317/image-0-480x320.jpg,"£715,000",True,True,/agents/contact/8932362/,/agents/contact/8932362/?form-name=details-contact,/agents/branch/fyfe-mcdade-london/,False,https://media.onthemarket.com/agents/companies/376/150611123351858/logo-100x65.jpg,5673,Fyfe Mcdade - London,020 8022 6893
12,,True,"Osborn St, The Osborn Apartments, Spitalfields, London, E1",https://media.onthemarket.com/properties/8932356/1333514829/image-0-480x320.jpg,https://media.onthemarket.com/properties/8932356/1333514829/image-0-480x320.webp,1,"Situated on the 2nd floor, this one bedroom apartment is arranged over 635 sq ft and has views over Osborn Street,",['New build'],1 bedroom apartment for sale,8932356,/details/8932356/,https://media.onthemarket.com/properties/8932356/1333514829/image-0-480x320.jpg,"£635,000",True,True,/agents/contact/8932356/,/agents/contact/8932356/?form-name=details-contact,/agents/branch/fyfe-mcdade-london/,False,https://media.onthemarket.com/agents/companies/376/150611123351858/logo-100x65.jpg,5673,Fyfe Mcdade - London,020 8022 6893
,,True,"Osborn St, The Osborn Apartments, Spitalfields, London, E1",https://media.onthemarket.com/default/default-property.png,,1,"Situated on the 3rd floor, this three bedroom apartment with terrace is arranged over 1184 sq ft and has views over Osborn Street.",['New build'],3 bedroom apartment for sale,8932350,/details/8932350/,https://media.onthemarket.com/default/default-property.png,"£1,300,000",True,True,/agents/contact/8932350/,/agents/contact/8932350/?form-name=details-contact,/agents/branch/fyfe-mcdade-london/,False,https://media.onthemarket.com/agents/companies/376/150611123351858/logo-100x65.jpg,5673,Fyfe Mcdade - London,020 8022 6893
12,,True,"Osborn St, The Osborn Apartments, Spitalfields, London, E1",https://media.onthemarket.com/properties/8932324/1333514741/image-0-480x320.jpg,https://media.onthemarket.com/properties/8932324/1333514741/image-0-480x320.webp,1,"Situated on the 2nd floor, this two bedroom with apartment with large terrace running the entire width of the property is arranged over 764 sq ft and has views over Osborn Street.",['New build'],2 bedroom apartment for sale,8932324,/details/8932324/,https://media.onthemarket.com/properties/8932324/1333514741/image-0-480x320.jpg,"£875,000",True,True,/agents/contact/8932324/,/agents/contact/8932324/?form-name=details-contact,/agents/branch/fyfe-mcdade-london/,False,https://media.onthemarket.com/agents/companies/376/150611123351858/logo-100x65.jpg,5673,Fyfe Mcdade - London,020 8022 6893
17,,True,"B-02.05 Royal Mint Gardens, Royal Mint Street, London, E1",https://media.onthemarket.com/properties/8930036/1334392599/image-0-480x320.jpg,https://media.onthemarket.com/properties/8930036/1334392599/image-0-480x320.webp,1,"Stylish studio apartment with excellent transport connections and amenities in a Zone 1 location, E1  This second floor studio measuring 388 square foot is located in the Rosemary Place building at Royal Mint Gardens and has a Piazza view and West facing aspect.  Introducing one of London's most...","['Online viewing', 'New build']",Studio for sale,8930036,/details/8930036/,https://media.onthemarket.com/properties/8930036/1334392599/image-0-480x320.jpg,"£570,000",True,True,/agents/contact/8930036/,/agents/contact/8930036/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,37782,"Knight Frank - City & East, Residential Development",020 8022 6382
12,,True,"The Silk District, The Georgette South, WhiteChapel, E1",https://media.onthemarket.com/properties/8858290/1329491608/image-0-480x320.jpg,https://media.onthemarket.com/properties/8858290/1329491608/image-0-480x320.webp,1,"This spacious 477 sq. ft studio within a huge 170 sq. ft terrace is in the brand new The Silk District development, which is perfectly positioned for access to Liverpool Street in 2 minutes, Canary Wharf in 3 minutes and Bond Street in 10 minutes. Completion is due Q1 2021. The Silk District...",['New build'],Studio for sale,8858290,/details/8858290/,https://media.onthemarket.com/properties/8858290/1329491608/image-0-480x320.jpg,"£475,000",True,True,/agents/contact/8858290/,/agents/contact/8858290/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
14,Offers in excess of,True,"Admiralty House, 150 Vaughan Way, London Dock, Wapping, E1W",https://media.onthemarket.com/properties/8821085/1331266078/image-0-480x320.jpg,https://media.onthemarket.com/properties/8821085/1331266078/image-0-480x320.webp,1,"A stunning newly built one bedroom apartment situated in Wapping, on the seventh floor, moments from Tower Bridge and The City. This spacious apartment has been finished to the highest of standards with Miele apliances throughout (including wine cooler, coffee machine, washer dryer and...","['Online viewing', 'New build']",1 bedroom apartment for sale,8821085,/details/8821085/,https://media.onthemarket.com/properties/8821085/1331266078/image-0-480x320.jpg,"£700,000",True,True,/agents/contact/8821085/,/agents/contact/8821085/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
14,,True,"Stepney Way, London, E1 ",https://media.onthemarket.com/properties/8816425/1303800081/image-0-480x320.jpg,https://media.onthemarket.com/properties/8816425/1303800081/image-0-480x320.webp,1,"Hunters are proud to present this stunning 3 bedroom garden apartment within a brand new striking boutique development.  300 Stepney Way is a brand new mixed-use development located in the heart of East London with a range of apartments, all with outside space. A selection of 1,2 and 3 bedroom...",['New build'],3 bedroom apartment for sale,8816425,/details/8816425/,https://media.onthemarket.com/properties/8816425/1303800081/image-0-480x320.jpg,"£725,000",True,True,/agents/contact/8816425/,/agents/contact/8816425/?form-name=details-contact,/agents/branch/hunters-shoreditch/,False,https://media.onthemarket.com/agents/companies/495/161111082254267/logo-100x65.jpg,44182,Hunters - Shoreditch,020 8115 3149
9,,True,"Unit 9 - The Osborn Apartments, Osborn Street, London, E1",https://media.onthemarket.com/properties/6951412/1335037404/image-0-480x320.jpg,https://media.onthemarket.com/properties/6951412/1335037404/image-0-480x320.webp,1,"Final 3 bedroom apartment available at The Osborn Apartment, E1  Located on the third floor, this beautiful apartment is  the final 3 bedroom apartment available at The Osborn Apartments.  The spacious home  measures 1,184 square foot internally and benefits from a 140 sq/ft balcony and is just...",['New build'],3 bedroom flat for sale,6951412,/details/6951412/,https://media.onthemarket.com/properties/6951412/1335037404/image-0-480x320.jpg,"£1,300,000",True,True,/agents/contact/6951412/,/agents/contact/6951412/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,37782,"Knight Frank - City & East, Residential Development",020 8022 6382
11,,True,"Apartment 8, Osborn Apartments, Osborn Street, London, E1 6TD",https://media.onthemarket.com/properties/8712421/1332677588/image-0-480x320.jpg,https://media.onthemarket.com/properties/8712421/1332677588/image-0-480x320.webp,1,"Warehouse inspired 1 bedroom apartment in the heart of Spitafields available at The Osborn Apartments, E1  This elegant second floor 1 bedroom apartment has a West facing aspect overlooking Osborn Street and measures 635 square foot.  The Osborn Apartments are an exclusive collection of warehouse...",['New build'],1 bedroom flat for sale,8712421,/details/8712421/,https://media.onthemarket.com/properties/8712421/1332677588/image-0-480x320.jpg,"£635,000",True,True,/agents/contact/8712421/,/agents/contact/8712421/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,37782,"Knight Frank - City & East, Residential Development",020 8022 6382
12,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8600138/1324656314/image-0-480x320.jpg,https://media.onthemarket.com/properties/8600138/1324656314/image-0-480x320.webp,1,"*3D VIRTUAL VIEWING AVAILABLE * An outstanding, three bedroom, 38th floor 2081 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents...","['Online viewing', 'New build']",3 bedroom apartment for sale,8600138,/details/8600138/,https://media.onthemarket.com/properties/8600138/1324656314/image-0-480x320.jpg,"£5,750,000",True,True,/agents/contact/8600138/,/agents/contact/8600138/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
13,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594498/1324656308/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594498/1324656308/image-0-480x320.webp,2,"* VIRTUAL VIEWING AVAILABLE* An outstanding, 18th floor, two bedroom, 778 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents only...","['Online viewing', 'New build']",2 bedroom apartment for sale,8594498,/details/8594498/,https://media.onthemarket.com/properties/8594498/1324656308/image-0-480x320.jpg,"£1,415,000",True,True,/agents/contact/8594498/,/agents/contact/8594498/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
13,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594497/1333559318/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594497/1333559318/image-0-480x320.webp,2,"* VIRTUAL VIEWING AVAILABLE* An outstanding, 14th floor, two bedroom, 891 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents only...","['Online viewing', 'New build']",2 bedroom apartment for sale,8594497,/details/8594497/,https://media.onthemarket.com/properties/8594497/1333559318/image-0-480x320.jpg,"£1,450,000",True,True,/agents/contact/8594497/,/agents/contact/8594497/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
14,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594185/1324656305/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594185/1324656305/image-0-480x320.webp,2,"* VIRTUAL VIEWING AVAILABLE* An outstanding, 40th floor, two bedroom, 921 Sq.ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents only...","['Online viewing', 'New build']",2 bedroom apartment for sale,8594185,/details/8594185/,https://media.onthemarket.com/properties/8594185/1324656305/image-0-480x320.jpg,"£1,840,000",True,True,/agents/contact/8594185/,/agents/contact/8594185/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
15,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594183/1324656303/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594183/1324656303/image-0-480x320.webp,1,"*3D VIRTUAL VIEWING AVAILABLE * An outstanding, three bedroom, thirty second floor 1456 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service,...","['Online viewing', 'New build']",3 bedroom apartment for sale,8594183,/details/8594183/,https://media.onthemarket.com/properties/8594183/1324656303/image-0-480x320.jpg,"£3,175,000",True,True,/agents/contact/8594183/,/agents/contact/8594183/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
12,Offers in excess of,True,"Royal Mint Street, London, E1",https://media.onthemarket.com/properties/8314983/1322150534/image-0-480x320.jpg,https://media.onthemarket.com/properties/8314983/1322150534/image-0-480x320.webp,1,"A superb one-bedroom 4th floor apartment with private balcony available in this exciting new development close to Tower Bridge, St Katherine’s Dock and Tower Gateway. (contd...)","['Online viewing', 'New build']",1 bedroom flat for sale,8314983,/details/8314983/,https://media.onthemarket.com/properties/8314983/1322150534/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/8314983/,/agents/contact/8314983/?form-name=details-contact,/agents/branch/winkworth-shoreditch/,False,https://media.onthemarket.com/agents/branches/22462/150609132847754/logo-100x65.jpg,22462,Winkworth - Shoreditch,020 8022 6973
