images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,base-contact-url,contact-url,details-url,development?,display-logo-url,name,telephone
19,,True,"15-07 10 Park Drive, Canary Wharf, London, E14",https://media.onthemarket.com/properties/8442314/1337241292/image-0-480x320.jpg,https://media.onthemarket.com/properties/8442314/1337241292/image-0-480x320.webp,1,"Riverside homes with fantastic amenities available at 10 Park Drive  This beautifully designed Two bedroom home which is located on the 15th floor of the prestigious 10 Park Drive development measures 899 sq/ft internally, benefits from 116 sq/ft of private balcony space and a North/East aspect...","['Recently added', 'Online viewing', 'New build']",2 bedroom flat for sale,4804,/details/8442314/,https://media.onthemarket.com/properties/8442314/1337241292/image-0-480x320.jpg,"£1,080,000",True,True,/agents/contact/8442314/,/agents/contact/8442314/?form-name=details-contact,/agents/branch/knight-frank-canary-wharf-aldgate-and-wapping/,False,https://media.onthemarket.com/agents/branches/4804/180618173426040/logo-100x65.jpg,"Knight Frank - Canary Wharf, Aldgate & Wapping",020 8022 7340
18,,True,"Valiant Tower, South Quay, E14",https://media.onthemarket.com/properties/9921853/1335732827/image-0-480x320.jpg,https://media.onthemarket.com/properties/9921853/1335732827/image-0-480x320.webp,1,"Two bedroom reassignment apartment for sale in South Quay Plaza E14, Perfectly positioned Canary Wharf & dock facing one-bedroom. The flat is located on the 28th floor of this anticipated development and extends to approximately 86.44 sq. m (933 sq. ft.).Available in what will be one of the...","['Online viewing', 'New build']",2 bedroom apartment for sale,37798,/details/9921853/,https://media.onthemarket.com/properties/9921853/1335732827/image-0-480x320.jpg,"£990,000",True,True,/agents/contact/9921853/,/agents/contact/9921853/?form-name=details-contact,/agents/branch/cbre-london-canary-wharf/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,"CBRE Residential - London, Canary Wharf",020 8022 6426
16,,True,"The Madison, Canary Wharf, London, E14",https://media.onthemarket.com/properties/9206985/1318031383/image-0-480x320.jpg,https://media.onthemarket.com/properties/9206985/1318031383/image-0-480x320.webp,1,"A 1392 sq feet 3-bedroom luxury dockside apartment with 2 bathrooms. 180-degree panoramic views, double-height ceilings and two parking spaces. Residents of the Madison enjoy the use of the residents' lounge with terrace, private dining and cinema room, meeting rooms, gym, spa and swimming pool.","['Online viewing', 'New build', 'EV charger']",3 bedroom apartment for sale,55220,/details/9206985/,https://media.onthemarket.com/properties/9206985/1318031383/image-0-480x320.jpg,"£1,560,000",True,True,/agents/contact/9206985/,/agents/contact/9206985/?form-name=details-contact,/agents/branch/lixing-london/,False,https://media.onthemarket.com/agents/branches/55220/201016111929156/logo-100x65.png,Lixing - London,020 3641 1257
9,Offers in excess of,True,"South Quay Plaza Tower, Canary Wharf, London, E14",https://media.onthemarket.com/properties/9916858/1335544570/image-0-480x320.jpg,https://media.onthemarket.com/properties/9916858/1335544570/image-0-480x320.webp,1,"COMPLETES SOON! Stylish one bedroom apartment located on the 24th floor of the new South Quay Plaza development with southerly views towards the dock & Greenwich. Ideally located moments from Canary Wharf for superb amenities and transport, this property makes a great first time buy or...","['Online viewing', 'New build']",1 bedroom apartment for sale,56033,/details/9916858/,https://media.onthemarket.com/properties/9916858/1335544570/image-0-480x320.jpg,"£600,000",True,True,/agents/contact/9916858/,/agents/contact/9916858/?form-name=details-contact,/agents/branch/johns-and-co-canary-wharf/,False,https://media.onthemarket.com/agents/companies/1503/150611123935640/logo-100x65.jpg,Johns & Co - Canary Wharf,020 8115 5703
28,,True,"Hampton Tower, South Quay Plaza, Canary Wharf, E14",https://media.onthemarket.com/properties/9916745/1335541678/image-0-480x320.jpg,https://media.onthemarket.com/properties/9916745/1335541678/image-0-480x320.webp,1,"£100,000 Below Original Purchase Price | 28th floor | Dock, 02 Arena & River Thames Views | 919 SqFt | 2 bed | South East & North East Aspects | Berkeley Homes Premium Development |  Off plan reassignment completing February 2021  | 24/7 Concierge | Gym | Swimming Pool | Residents Lounge, Bar,...","['Online viewing', 'New build']",2 bedroom apartment for sale,26009,/details/9916745/,https://media.onthemarket.com/properties/9916745/1335541678/image-0-480x320.jpg,"£990,000",True,True,/agents/contact/9916745/,/agents/contact/9916745/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,MyLondonHome,020 8033 1702
16,,True,"Talisman Tower, 6 Lincoln Plaza, London, E14",https://media.onthemarket.com/properties/9225736/1335537535/image-0-480x320.jpg,https://media.onthemarket.com/properties/9225736/1335537535/image-0-480x320.webp,1,"An outstanding new build three-bedroom apartment on the sixteenth floor in Talisman Tower, Lincoln Plaza, formally known as Franklin Tower. This dual aspect apartment is arranged over 870 square feet and comprises reception room, open-plan to kitchen, three double bedrooms with en-suite to...","['Online viewing', 'New build']",3 bedroom flat for sale,48456,/details/9225736/,https://media.onthemarket.com/properties/9225736/1335537535/image-0-480x320.jpg,"£800,000",True,True,/agents/contact/9225736/,/agents/contact/9225736/?form-name=details-contact,/agents/branch/stirling-ackroyd-canary-wharf/,False,https://media.onthemarket.com/agents/companies/925/180913112912446/logo-100x65.png,Stirling Ackroyd - Canary Wharf,020 8115 3266
8,Offers in excess of,True,"Wardian, West Tower, London, E14",https://media.onthemarket.com/properties/9827323/1332644284/image-0-480x320.jpg,https://media.onthemarket.com/properties/9827323/1332644284/image-0-480x320.webp,1,"Sub penthouse level two bedroom apartment on the 47th floor of Wardian's West Tower, boasting dual aspect south westerly views including the City and two parking spaces, not to be missed. Encompassing c.1019 sq ft, this vast property benefits from a wrap around garden, c.401 sq ft, open plan...",['New build'],2 bedroom apartment for sale,56033,/details/9827323/,https://media.onthemarket.com/properties/9827323/1332644284/image-0-480x320.jpg,"£1,200,000",True,True,/agents/contact/9827323/,/agents/contact/9827323/?form-name=details-contact,/agents/branch/johns-and-co-canary-wharf/,False,https://media.onthemarket.com/agents/companies/1503/150611123935640/logo-100x65.jpg,Johns & Co - Canary Wharf,020 8115 5703
12,,True,"Orchard Wharf, Silvocea Way, London, E14",https://media.onthemarket.com/properties/8516236/1322146040/image-0-480x320.jpg,https://media.onthemarket.com/properties/8516236/1322146040/image-0-480x320.webp,1,Off Plan Opportunity | Luxurious Development | 17th Floor Position | South-facing Private Balcony | Scheduled Completion for Q3 20211 Bedroom apartment situated within Galliard's sought after ORCHARD WHARF Development. Boasting a SOUTH-FACING PRIVATE BALCONY overlooking the RIVER THAMES and O2...,['New build'],1 bedroom apartment for sale,50199,/details/8516236/,https://media.onthemarket.com/properties/8516236/1322146040/image-0-480x320.jpg,"£460,000",True,True,/agents/contact/8516236/,/agents/contact/8516236/?form-name=details-contact,/agents/branch/life-residential-royal-wharf/,False,https://media.onthemarket.com/agents/companies/8638/181214144009850/logo-100x65.jpg,LIFE Residential - Royal Wharf,020 8033 4421
8,,True,"South Quay Plaza Tower, Canary Wharf, London, E14",https://media.onthemarket.com/properties/9895211/1334945140/image-0-480x320.jpg,https://media.onthemarket.com/properties/9895211/1334945140/image-0-480x320.webp,1,"Exceptional two bedroom, dual aspect apartment with parking located on the 60th floor of South Quay Plaza's Valiant Tower. This apartment will have some of the best views in the area with direct views of Canary Wharf, City of London, O2 and River Thames.",['New build'],2 bedroom apartment for sale,56033,/details/9895211/,https://media.onthemarket.com/properties/9895211/1334945140/image-0-480x320.jpg,"£1,980,000",True,True,/agents/contact/9895211/,/agents/contact/9895211/?form-name=details-contact,/agents/branch/johns-and-co-canary-wharf/,False,https://media.onthemarket.com/agents/companies/1503/150611123935640/logo-100x65.jpg,Johns & Co - Canary Wharf,020 8115 5703
10,Offers in excess of,True,"South Quay Plaza Tower, Canary Wharf, London, E14",https://media.onthemarket.com/properties/9894462/1334928333/image-0-480x320.jpg,https://media.onthemarket.com/properties/9894462/1334928333/image-0-480x320.webp,1,"Looking for an excellent location and impressive views? Then look no further than this 23rd floor one bedroom apartment in South Quay Plaza with north west views towards Canary Wharf, dock & City. Moments from Canary Wharf, this property has it all. ","['Online viewing', 'New build']",1 bedroom apartment for sale,56033,/details/9894462/,https://media.onthemarket.com/properties/9894462/1334928333/image-0-480x320.jpg,"£660,000",True,True,/agents/contact/9894462/,/agents/contact/9894462/?form-name=details-contact,/agents/branch/johns-and-co-canary-wharf/,False,https://media.onthemarket.com/agents/companies/1503/150611123935640/logo-100x65.jpg,Johns & Co - Canary Wharf,020 8115 5703
