id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9613851,7,,True,"Marco Polo, E16",https://media.onthemarket.com/properties/9613851/1337125763/image-0-480x320.jpg,https://media.onthemarket.com/properties/9613851/1337125763/image-0-480x320.webp,1,"Presenting this spacious 3 BEDROOM 2 BATHROOM apartment located on the 8th floor of Royal Wharf. This high spec apartment has 792 sq.ft* of internal space, and a balcony of 322 sq.ft*.Royal Wharf brings together everything that is best about London; large and small, local and regional, classic...",['New build'],3 bedroom flat for sale,/details/9613851/,https://media.onthemarket.com/properties/9613851/1337125763/image-0-480x320.jpg,"£830,000",True,True,/agents/contact/9613851/,/agents/contact/9613851/?form-name=details-contact,/agents/branch/fraser-and-co-new-homes/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,49335,Fraser & Co - New Homes,020 8033 5239
9613849,7,,True,"Admiralty, N Woolwich Road, E16",https://media.onthemarket.com/properties/9613849/1326061846/image-0-480x320.jpg,https://media.onthemarket.com/properties/9613849/1326061846/image-0-480x320.webp,1,"Offering exceptional value at just £635 per sq ft this spacious 2 BEDROOM 2 BATHROOM second floor luxury apartment within the Admiralty development located in London’s East End. This apartments, set within the new exclusive village of Royal Wharf has 912 sq.ft of internal space, has a large 122...","['Online viewing', 'New build']",2 bedroom flat for sale,/details/9613849/,https://media.onthemarket.com/properties/9613849/1326061846/image-0-480x320.jpg,"£580,000",True,True,/agents/contact/9613849/,/agents/contact/9613849/?form-name=details-contact,/agents/branch/fraser-and-co-new-homes/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,49335,Fraser & Co - New Homes,020 8033 5239
9599347,5,From,True,"Heartwell, Brunel Street Works, Canning Town, E16",https://media.onthemarket.com/properties/9599347/1334169245/image-0-480x320.jpg,https://media.onthemarket.com/properties/9599347/1334169245/image-0-480x320.webp,1,"Save up to £15,000 with our extended stamp duty holiday Ground rent free development!Spacious apartment on the 18th floor comprising open plan kitchen/living/dining room, doube bedrrom, separate WC and west facing private balcony. 576 sqft2 bed virtual tour available, please enquire. A key part...","['Online viewing', 'New build']",1 bedroom apartment for sale,/details/9599347/,https://media.onthemarket.com/properties/9599347/1334169245/image-0-480x320.jpg,"£530,000",True,True,/agents/contact/9599347/,/agents/contact/9599347/?form-name=details-contact,/agents/branch/cbre-london-canary-wharf/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,37798,"CBRE Residential - London, Canary Wharf",020 8022 6426
9599346,5,From,True,"Heartwell, Brunel Street Works, Canning Town, E16",https://media.onthemarket.com/properties/9599346/1334169241/image-0-480x320.jpg,https://media.onthemarket.com/properties/9599346/1334169241/image-0-480x320.webp,1,"Save up to £15,000 with our extended stamp duty holiday Grunt rent free development!Spacious apartment on the 18th floor comprising open plan kitchen/living/dining room, doube bedrrom, separate WC and west facing private balcony. 576 sqft2 bed virtual tour available, please enquire. A key part of...","['Online viewing', 'New build']",1 bedroom apartment for sale,/details/9599346/,https://media.onthemarket.com/properties/9599346/1334169241/image-0-480x320.jpg,"£490,000",True,True,/agents/contact/9599346/,/agents/contact/9599346/?form-name=details-contact,/agents/branch/cbre-london-canary-wharf/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,37798,"CBRE Residential - London, Canary Wharf",020 8022 6426
9591419,8,,True,"Plot B1805, Block B - Type J at Brunel Street Works, Brunel Street Works, Silvertown Way, Canning Town E16",https://media.onthemarket.com/properties/9591419/1325605057/image-0-480x320.jpg,https://media.onthemarket.com/properties/9591419/1325605057/image-0-480x320.webp,1,"A 1 bedroom, eighteenth floor apartment which offers a fully fitted open-plan kitchen, living and dining area, a luxury bathroom, hallway storage and a balcony. The Master Bedroom also features a built-in wardrobe....",['New build'],1 bedroom apartment for sale,/details/9591419/,https://media.onthemarket.com/properties/9591419/1325605057/image-0-480x320.jpg,"£490,000",True,True,/agents/contact/9591419/,/agents/contact/9591419/?form-name=details-contact,/new-homes/developers/development/brunel-street-works-53195/,True,https://media.onthemarket.com/agents/companies/9834/200625080909437/logo-100x65.jpg,53195,Linden Homes - Brunel Street Works,020 8128 5125
9590230,11,,True,"Gallions Reach, London E16",https://media.onthemarket.com/properties/9590230/1325576184/image-0-480x320.jpg,https://media.onthemarket.com/properties/9590230/1325576184/image-0-480x320.webp,,"A brand new, high specification two bedroom apartment in the Gallions Reach area near Royal Docks.Situated on the doorstep of Gallions Reach DLR and close to Custom House Station (Crossrail links from 2021) makes commuting to Canary Wharf seamless.An excellent investment opportunity.",['New build'],2 bedroom apartment for sale,/details/9590230/,https://media.onthemarket.com/properties/9590230/1325576184/image-0-480x320.jpg,"£485,000",,True,/agents/contact/9590230/,/agents/contact/9590230/?form-name=details-contact,/agents/branch/chanin-estates-isle-of-dogs/,False,https://media.onthemarket.com/agents/companies/7487/180727154036422/logo-100x65.png,47980,Chanin Estates - Isle of Dogs,020 8115 0051
9574343,11,,True,"Gallions Reach, London E16",https://media.onthemarket.com/properties/9574343/1327624225/image-0-480x320.jpg,https://media.onthemarket.com/properties/9574343/1327624225/image-0-480x320.webp,,"A brand new, high specification three bedroom apartment in the Gallions Reach area near Royal Docks.Situated on the doorstep of Gallions Reach DLR and close to Custom House Station (Crossrail links from 2021) makes commuting to Canary Wharf seamless.An excellent investment opportunity.",['New build'],3 bedroom apartment for sale,/details/9574343/,https://media.onthemarket.com/properties/9574343/1327624225/image-0-480x320.jpg,"£650,000",,True,/agents/contact/9574343/,/agents/contact/9574343/?form-name=details-contact,/agents/branch/chanin-estates-isle-of-dogs/,False,https://media.onthemarket.com/agents/companies/7487/180727154036422/logo-100x65.png,47980,Chanin Estates - Isle of Dogs,020 8115 0051
9565849,5,,True,"Plot 207, 3 bedroom apartment at Brunel Street Works, Silvertown Way E16",https://media.onthemarket.com/properties/9565849/1324983565/image-0-480x320.jpg,https://media.onthemarket.com/properties/9565849/1324983565/image-0-480x320.webp,1,"3 bedroom apartment available for £146,875 at Effra Gardens!Effra Gardens - Apartment 2073 bedroom 2nd floor apartment offering 89.3 sq.m of internal floor area with outdoor space. Contact a member of our sales team now to view our new show home.£146,875 for a 25% share of £587,500 and a deposit...","['Online viewing', 'New build']",3 bedroom apartment for sale,/details/9565849/,https://media.onthemarket.com/properties/9565849/1324983565/image-0-480x320.jpg,"£146,875",True,True,/agents/contact/9565849/,/agents/contact/9565849/?form-name=details-contact,/new-homes/developers/development/brunel-street-works-55810/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55810,L&Q - Brunel Street Works,020 3641 9801
9565805,5,,True,"Plot 606, 2 bedroom apartment at Brunel Street Works, Silvertown Way E16",https://media.onthemarket.com/properties/9565805/1324983019/image-0-480x320.jpg,https://media.onthemarket.com/properties/9565805/1324983019/image-0-480x320.webp,1,"2 bedroom apartment available for £135,000 at Effra Gardens!Effra Gardens - Apartment 6062 bedroom 5th floor apartment offering 77.1 sq.m of internal floor area with outdoor space. Contact a member of our sales team now to view our new show home.£135,000 for a 25% share of £540,000 and a deposit...","['Online viewing', 'New build']",2 bedroom apartment for sale,/details/9565805/,https://media.onthemarket.com/properties/9565805/1324983019/image-0-480x320.jpg,"£135,000",True,True,/agents/contact/9565805/,/agents/contact/9565805/?form-name=details-contact,/new-homes/developers/development/brunel-street-works-55810/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55810,L&Q - Brunel Street Works,020 3641 9801
9565751,5,,True,"Plot 508, 2 bedroom apartment at Brunel Street Works, Silvertown Way E16",https://media.onthemarket.com/properties/9565751/1325523873/image-0-480x320.jpg,https://media.onthemarket.com/properties/9565751/1325523873/image-0-480x320.webp,1,"2 bedroom apartment available for £132,500 at Effra Gardens!Effra Gardens - Apartment 5082 bedroom 5th floor apartment offering 76.6 sq.m of internal floor area with outdoor space. Contact a member of our sales team now to view our new show home.£132,500 for a 25% share of £530,000 and a deposit...","['Online viewing', 'New build']",2 bedroom apartment for sale,/details/9565751/,https://media.onthemarket.com/properties/9565751/1325523873/image-0-480x320.jpg,"£132,500",True,True,/agents/contact/9565751/,/agents/contact/9565751/?form-name=details-contact,/new-homes/developers/development/brunel-street-works-55810/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55810,L&Q - Brunel Street Works,020 3641 9801
