images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,base-contact-url,contact-url,details-url,development?,display-logo-url,name,telephone
19,,True,"Canaletto Tower, 257 City Road, London, EC1V",https://media.onthemarket.com/properties/7995269/1228881904/image-0-480x320.jpg,https://media.onthemarket.com/properties/7995269/1228881904/image-0-480x320.webp,1,"The Beaumont Collection

A limited collection of beautiful apartments at the top of the Canaletto, a new iconic residential building. Overlooking both the City and the capital's diverse districts, these light filled homes all benefit from private terraces and a desirable cen...",['New build'],3 bedroom flat for sale,37788,/details/7995269/,https://media.onthemarket.com/properties/7995269/1228881904/image-0-480x320.jpg,"£2,990,000",True,True,/agents/contact/7995269/,/agents/contact/7995269/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
31,,True,"Beaumont Collection 26.01, Canaletto, 257 City Road, London, EC1V",https://media.onthemarket.com/properties/7995266/1228881790/image-0-480x320.jpg,https://media.onthemarket.com/properties/7995266/1228881790/image-0-480x320.webp,1,"The Beaumont Collection

A spectacular three double bedroom and three bathroom apartment, measuring 1991sqft, with stunning skyline views across the City of London. Ideally located on the doorstep of the City and within easy reach of Islington's Upper Street, the nearest Und...",['New build'],3 bedroom flat for sale,37788,/details/7995266/,https://media.onthemarket.com/properties/7995266/1228881790/image-0-480x320.jpg,"£2,800,000",True,True,/agents/contact/7995266/,/agents/contact/7995266/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
8,,True,"Chronicle Tower, The Lexicon, 261B City Road",https://media.onthemarket.com/properties/7849941/1193147795/image-0-480x320.jpg,https://media.onthemarket.com/properties/7849941/1193147795/image-0-480x320.webp,1,"A stunning one bedroom apartment with an east aspect over looking the tranquil City Road basin.Floor-to-ceiling windows throughout with views towards the City and beyond, while automatic shading blinds keep things cool inside.A smart home system puts control of lighting, climate and blinds in the...",['New build'],1 bedroom apartment for sale,3355,/details/7849941/,https://media.onthemarket.com/properties/7849941/1193147795/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/7849941/,/agents/contact/7849941/?form-name=details-contact,/agents/branch/chase-apartments-chalk-farm/,False,https://media.onthemarket.com/agents/companies/215/150611124826212/logo-100x65.jpg,Chase Apartments - Chalk Farm,020 8022 6931
13,Offers in excess of,True,"City Road, Shoreditch, London, EC1V",https://media.onthemarket.com/properties/7568259/1284395369/image-0-480x320.jpg,https://media.onthemarket.com/properties/7568259/1284395369/image-0-480x320.webp,1,A stunning three bedroom apartment with a breath taking view over the City.,['New build'],3 bedroom flat for sale,37777,/details/7568259/,https://media.onthemarket.com/properties/7568259/1284395369/image-0-480x320.jpg,"£2,000,000",True,True,/agents/contact/7568259/,/agents/contact/7568259/?form-name=details-contact,/agents/branch/savills-shoreditch/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,Savills - Shoreditch,020 8022 6250
11,,True,City Road London EC1V,https://media.onthemarket.com/properties/7413424/1322855609/image-0-480x320.jpg,https://media.onthemarket.com/properties/7413424/1322855609/image-0-480x320.webp,,"A fantastic two bedroom apartment, located in Berkeley Homes exciting new development, Carrara Tower, 250 City Road, EC1.  Due to complete this year, the property will comprise of well-appointed living space and be finished to the highest of specifications throughout. The property also benefits...",['New build'],2 bedroom flat for sale,22221,/details/7413424/,https://media.onthemarket.com/properties/7413424/1322855609/image-0-480x320.jpg,"£1,000,000",,True,/agents/contact/7413424/,/agents/contact/7413424/?form-name=details-contact,/agents/branch/jll-city/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,JLL - City,020 8022 7226
15,Price on application,True,Carrara Tower. 250 City Road. Islington London,https://media.onthemarket.com/properties/7413319/1327746163/image-0-480x320.jpg,https://media.onthemarket.com/properties/7413319/1327746163/image-0-480x320.webp,1,"A fantastic twenty second floor, two bedroom apartment, located in Berkeley Homes exciting new development, Carrara Tower, 250 City Road, EC1.",['New build'],2 bedroom apartment for sale,22221,/details/7413319/,https://media.onthemarket.com/properties/7413319/1327746163/image-0-480x320.jpg,,True,True,/agents/contact/7413319/,/agents/contact/7413319/?form-name=details-contact,/agents/branch/jll-city/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,JLL - City,020 8022 7226
12,Offers in excess of,True,"Carrara Tower, EC1V",https://media.onthemarket.com/properties/7103980/1335834327/image-0-480x320.jpg,https://media.onthemarket.com/properties/7103980/1335834327/image-0-480x320.webp,1,"A brand new 23rd floor, EXCEPTIONAL VIEWS - SOUTH/WEST FACING, three bedroom apartment set within the SOLD OUT Carrara Tower, 250 City Road EC1V. The 1425 Sq ft property has an open plan living area with a modern kitchen suite, integrated appliances and full height windows, 3 spacious bedrooms...",['New build'],3 bedroom flat for sale,49336,/details/7103980/,https://media.onthemarket.com/properties/7103980/1335834327/image-0-480x320.jpg,"£1,750,000",True,True,/agents/contact/7103980/,/agents/contact/7103980/?form-name=details-contact,/agents/branch/fraser-and-co-city-of-london/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,Fraser & Co - City Of London,020 8033 5241
10,,True,"Canaletto, City Road, London, EC1V",https://media.onthemarket.com/properties/6951597/1312723169/image-0-480x320.jpg,https://media.onthemarket.com/properties/6951597/1312723169/image-0-480x320.webp,1,"Stunning 2 Bedroom, 2 Bathroom apartment measuring 861sqft located on the 9th floor with PARKING SPACE valued at £70,000, in this striking, recently completed development. Canaletto provides residents with exceptional services and amenities including a 24 hour concierge, residents lounge and bar,...",['New build'],2 bedroom flat for sale,47744,/details/6951597/,https://media.onthemarket.com/properties/6951597/1312723169/image-0-480x320.jpg,"£1,195,000",True,True,/agents/contact/6951597/,/agents/contact/6951597/?form-name=details-contact,/agents/branch/vesper-group-london/,False,https://media.onthemarket.com/agents/branches/47744/190627144001765/logo-100x65.jpg,Vesper Group - London,020 8115 0326
19,,True,"Canaletto Tower, EC1V 1AE",https://media.onthemarket.com/properties/5230271/1317301947/image-0-480x320.jpg,https://media.onthemarket.com/properties/5230271/1317301947/image-0-480x320.webp,1,"Spacious one bedroom apartment on the 14th floor of this EXCEPTIONAL building on City Road. Uninterrupted views from all windows, 24 hour concierge, 17 metre pool, spa, residents lounge, cinema, 24th floor residents bar & terrace. SECURE M/C PARKING. Short walk to Angel & Old Street tube stations...",['New build'],1 bedroom apartment for sale,47638,/details/5230271/,https://media.onthemarket.com/properties/5230271/1317301947/image-0-480x320.jpg,"£795,000",True,True,/agents/contact/5230271/,/agents/contact/5230271/?form-name=details-contact,/agents/branch/indago-fulham/,False,https://media.onthemarket.com/agents/companies/7264/180711115333751/logo-100x65.png,Indago - Fulham,020 8115 0493
17,,True,"250 City Road, EC1V",https://media.onthemarket.com/properties/6167032/1336865293/image-0-480x320.jpg,https://media.onthemarket.com/properties/6167032/1336865293/image-0-480x320.webp,1,"BRAND NEW! Presenting, this outstanding two-bedroom luxurious home located on the 27th floor witin Carrara Tower- a flagship Berkley Homes Development at 250 City Road. This property boasts phenomenal views across London and state of the art facilities including a private gym and swimming pool...",['New build'],2 bedroom property for sale,49336,/details/6167032/,https://media.onthemarket.com/properties/6167032/1336865293/image-0-480x320.jpg,"£1,550,000",True,True,/agents/contact/6167032/,/agents/contact/6167032/?form-name=details-contact,/agents/branch/fraser-and-co-city-of-london/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,Fraser & Co - City Of London,020 8033 5241
9,,True,"Canaletto, 257 City Road, London, EC1V",https://media.onthemarket.com/properties/6018611/1325048597/image-0-480x320.jpg,https://media.onthemarket.com/properties/6018611/1325048597/image-0-480x320.webp,1,"A stunning two bedroom, two bathroom luxury apartment with private 99 square foot balcony and featuring floor-to-ceiling glazed facades. Beautifully presented to offer contemporary interiors with high-specification fixtures and fittings throughout in a waterside location in Angel.Located within...",['New build'],2 bedroom flat for sale,26003,/details/6018611/,https://media.onthemarket.com/properties/6018611/1325048597/image-0-480x320.jpg,"£1,100,000",True,True,/agents/contact/6018611/,/agents/contact/6018611/?form-name=details-contact,/agents/branch/stirling-ackroyd-clerkenwell/,False,https://media.onthemarket.com/agents/companies/925/180913112912446/logo-100x65.png,Stirling Ackroyd - Clerkenwell,020 8033 7508
13,From,True,"Postmark, Mount Pleasant, London, WC1X",https://media.onthemarket.com/properties/5840599/1332905488/image-0-480x320.tif,https://media.onthemarket.com/properties/5840599/1332905488/image-0-480x320.webp,,"Postmark will create a bustling new neighbourhood in the heart of Central London, offering an exciting mix of stylish designed apartments. Leading the last major regeneration project. ",['New build'],1 bedroom flat for sale,37767,/details/5840599/,https://media.onthemarket.com/properties/5840599/1332905488/image-0-480x320.tif,"£950,000",,True,/agents/contact/5840599/,/agents/contact/5840599/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,"Savills - London, Margaret Street, New Homes",020 8022 6246
