images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
8,Guide price,True,"Principal Tower, Shoreditch, EC2A",https://media.onthemarket.com/properties/8702997/1333244743/image-0-480x320.jpg,https://media.onthemarket.com/properties/8702997/1333244743/image-0-480x320.webp,,"This 2nd floor one bedroom one bathroom apartment (473 Sq. Ft.) facing East is offered in Principal Tower, London EC2, nearby Shoreditch High Street. Residents of this building will be able to gain access to the gym and spa, screening room, lap pool & 24-hour concierge.The colour palette of this...",['New build'],1 bedroom flat for sale,8702997,/details/8702997/,https://media.onthemarket.com/properties/8702997/1333244743/image-0-480x320.jpg,"£875,000",,True,/agents/contact/8702997/,/agents/contact/8702997/?form-name=details-contact,/agents/branch/dockleys-london-property-london/,False,https://media.onthemarket.com/agents/companies/7785/201222175031108/logo-100x65.jpg,48486,Dockleys London Property - London,020 8033 7485
12,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8600138/1324656314/image-0-480x320.jpg,https://media.onthemarket.com/properties/8600138/1324656314/image-0-480x320.webp,1,"*3D VIRTUAL VIEWING AVAILABLE * An outstanding, three bedroom, 38th floor 2081 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents...","['Online viewing', 'New build']",3 bedroom apartment for sale,8600138,/details/8600138/,https://media.onthemarket.com/properties/8600138/1324656314/image-0-480x320.jpg,"£5,750,000",True,True,/agents/contact/8600138/,/agents/contact/8600138/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
13,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594498/1324656308/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594498/1324656308/image-0-480x320.webp,2,"* VIRTUAL VIEWING AVAILABLE* An outstanding, 18th floor, two bedroom, 778 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents only...","['Online viewing', 'New build']",2 bedroom apartment for sale,8594498,/details/8594498/,https://media.onthemarket.com/properties/8594498/1324656308/image-0-480x320.jpg,"£1,415,000",True,True,/agents/contact/8594498/,/agents/contact/8594498/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
13,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594497/1333559318/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594497/1333559318/image-0-480x320.webp,2,"* VIRTUAL VIEWING AVAILABLE* An outstanding, 14th floor, two bedroom, 891 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents only...","['Online viewing', 'New build']",2 bedroom apartment for sale,8594497,/details/8594497/,https://media.onthemarket.com/properties/8594497/1333559318/image-0-480x320.jpg,"£1,450,000",True,True,/agents/contact/8594497/,/agents/contact/8594497/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
14,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594185/1324656305/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594185/1324656305/image-0-480x320.webp,2,"* VIRTUAL VIEWING AVAILABLE* An outstanding, 40th floor, two bedroom, 921 Sq.ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service, residents only...","['Online viewing', 'New build']",2 bedroom apartment for sale,8594185,/details/8594185/,https://media.onthemarket.com/properties/8594185/1324656305/image-0-480x320.jpg,"£1,840,000",True,True,/agents/contact/8594185/,/agents/contact/8594185/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
15,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594183/1324656303/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594183/1324656303/image-0-480x320.webp,1,"*3D VIRTUAL VIEWING AVAILABLE * An outstanding, three bedroom, thirty second floor 1456 sq ft apartment in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge service,...","['Online viewing', 'New build']",3 bedroom apartment for sale,8594183,/details/8594183/,https://media.onthemarket.com/properties/8594183/1324656303/image-0-480x320.jpg,"£3,175,000",True,True,/agents/contact/8594183/,/agents/contact/8594183/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
8,,True,"Principal Tower, 2 Principal Place, Worship Street, EC2A",https://media.onthemarket.com/properties/8594182/1333559308/image-0-480x320.jpg,https://media.onthemarket.com/properties/8594182/1333559308/image-0-480x320.webp,1,"*3D VIRTUAL VIEWING AVAILABLE * An outstanding brand new one bedroom, 473 sq ft apartment on the third floor in the prestigious Principal Tower. Residents benefit from the amazing facilities this development provides and all that comes with the stunning location, such as the 24hr concierge...","['Online viewing', 'New build']",1 bedroom apartment for sale,8594182,/details/8594182/,https://media.onthemarket.com/properties/8594182/1333559308/image-0-480x320.jpg,"£875,000",True,True,/agents/contact/8594182/,/agents/contact/8594182/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
17,,True,"Apartment 21.09, One Bishopsgate Plaza, City Of London, EC3A",https://media.onthemarket.com/properties/8556134/1337046368/image-0-480x320.jpg,https://media.onthemarket.com/properties/8556134/1337046368/image-0-480x320.webp,1,Beautiful apartments in the heart of The City with a range of amenities now available at One Bishopsgate Plaza  A modern One bedroom apartment located on the 21st floor with a North East aspect and views of Spitalfields Market & Canary Wharf.  One Bishopsgate Plaza will be the first tower...,"['Online viewing', 'New build']",1 bedroom flat for sale,8556134,/details/8556134/,https://media.onthemarket.com/properties/8556134/1337046368/image-0-480x320.jpg,"£1,300,000",True,True,/agents/contact/8556134/,/agents/contact/8556134/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,37782,"Knight Frank - City & East, Residential Development",020 8022 6382
13,,True,"2 Principal Place, Worship Street, London EC2A",https://media.onthemarket.com/properties/8452735/1292393406/image-0-480x320.jpg,https://media.onthemarket.com/properties/8452735/1292393406/image-0-480x320.webp,,"Principal Tower enjoys a prestigious location overlooking the heart of the City of London, the top global financial centre and Shoreditch.London's skyline welcomes its most desirable arrival - Principal Tower. Joining the Gherkin, Tower 42, the Cheesegrater and the Walkie-Talkie, Principal Tower...",['New build'],2 bedroom flat for sale,8452735,/details/8452735/,https://media.onthemarket.com/properties/8452735/1292393406/image-0-480x320.jpg,"£1,839,000",,True,/agents/contact/8452735/,/agents/contact/8452735/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
13,,True,"2 Principal Place , Worship Street, London EC2A",https://media.onthemarket.com/properties/8452716/1292393129/image-0-480x320.jpg,https://media.onthemarket.com/properties/8452716/1292393129/image-0-480x320.webp,,"Principal Tower enjoys a prestigious location overlooking the heart of the City of London, the top global financial centre and Shoreditch.London's skyline welcomes its most desirable arrival - Principal Tower. Joining the Gherkin, Tower 42, the Cheesegrater and the Walkie-Talkie, Principal Tower...",['New build'],3 bedroom flat for sale,8452716,/details/8452716/,https://media.onthemarket.com/properties/8452716/1292393129/image-0-480x320.jpg,"£5,750,000",,True,/agents/contact/8452716/,/agents/contact/8452716/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
