images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,base-contact-url,contact-url,details-url,development?,display-logo-url,name,telephone
25,,True,"Plot 76 Duo Tower at Hoxton Press, Penn Street, Hoxton, Hoxton N1",https://media.onthemarket.com/properties/9790505/1331284325/image-0-480x320.jpg,https://media.onthemarket.com/properties/9790505/1331284325/image-0-480x320.webp,1,"76 Duo is a beautifully presented 2 bedroom home with a large private balcony, located on the 13th floor of the Duo Tower at our Hoxton Press development. Anthology Hoxton Press is situated within easy reach to Regents Canal, Old Street and the City of London.","['Online viewing', 'New build']",2 bedroom apartment for sale,53626,/details/9790505/,https://media.onthemarket.com/properties/9790505/1331284325/image-0-480x320.jpg,"£940,000",True,True,/agents/contact/9790505/,/agents/contact/9790505/?form-name=details-contact,/new-homes/developers/development/hoxton-press-53626/,True,https://media.onthemarket.com/agents/branches/53626/200302164919317/logo-100x65.png,Anthology - Hoxton Press,020 3641 9902
20,,True,"Unit 82 Duo Tower, Anthology Hoxton Press, Penn Street, London, N1",https://media.onthemarket.com/properties/6278994/1336952374/image-0-480x320.jpg,https://media.onthemarket.com/properties/6278994/1336952374/image-0-480x320.webp,1,"Spacious 3 Bedroom Penthouse for Sale at Anthology Hoxton Press, N1  This beautifully designed 3 bedroom penthouse apartment at the Anthology Hoxton Press development measures 1477 square foot internally and is now available to purchase. With 3 well refined bedrooms, a decadent living area and...",['New build'],3 bedroom flat for sale,37782,/details/6278994/,https://media.onthemarket.com/properties/6278994/1336952374/image-0-480x320.jpg,"£1,850,000",True,True,/agents/contact/6278994/,/agents/contact/6278994/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,"Knight Frank - City & East, Residential Development",020 8022 6382
16,,True,"Anthology Hoxton Press, Penn Street, London, N1",https://media.onthemarket.com/properties/9501086/1336951705/image-0-480x320.jpg,https://media.onthemarket.com/properties/9501086/1336951705/image-0-480x320.webp,,"Beautiful collection of modern new homes for sale at Anthology Hoxton Press  This deluxe 1 bedroom apartment located on the 11 floor of the Mono tower at the Anthology Hoxton Press measures 597 square foot internally and is now available to purchase. With a well refined bedroom, decadent living...",['New build'],1 bedroom flat for sale,37782,/details/9501086/,https://media.onthemarket.com/properties/9501086/1336951705/image-0-480x320.jpg,"£650,000",,True,/agents/contact/9501086/,/agents/contact/9501086/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,"Knight Frank - City & East, Residential Development",020 8022 6382
19,,True,"86 Duo, Anthology Hoxton Press, Penn Street, London, N1",https://media.onthemarket.com/properties/9495767/1336952896/image-0-480x320.jpg,https://media.onthemarket.com/properties/9495767/1336952896/image-0-480x320.webp,1,"Luxurious 3 bedroom home with a private terrace and benefiting from excellent transport connections available at Anthology Hoxton Press, N1  This amazing three bedroom home is located on the 15th floor of the Duo tower at Anthology Hoxton Press and provides a generous 1,517 square foot of...",['New build'],3 bedroom flat for sale,37782,/details/9495767/,https://media.onthemarket.com/properties/9495767/1336952896/image-0-480x320.jpg,"£2,150,000",True,True,/agents/contact/9495767/,/agents/contact/9495767/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,"Knight Frank - City & East, Residential Development",020 8022 6382
19,Price on application,True,"The Atlas, 145 City Road, Clerkenwell, EC1V",https://media.onthemarket.com/properties/9488297/1322832020/image-0-480x320.jpg,https://media.onthemarket.com/properties/9488297/1322832020/image-0-480x320.webp,1,"3D VIRTUAL TOUR | Spectacular Views | High Ceilings | 34th Floor | Offers invited | Constellation Specification | 1126 Sq Ft | Two Terraces | Balcony | Residents only gymnasium, swimming pool and screening room | 24hr concierge | South West facing | 8 Minutes’ Walk to Crossrail | 50 meters to Old...","['Online viewing', 'New build']",2 bedroom apartment for sale,26009,/details/9488297/,https://media.onthemarket.com/properties/9488297/1322832020/image-0-480x320.jpg,,True,True,/agents/contact/9488297/,/agents/contact/9488297/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,MyLondonHome,020 8033 1702
5,,True,"Duo Tower, Hoxton Press, N1",https://media.onthemarket.com/properties/9480375/1330848461/image-0-480x320.jpg,https://media.onthemarket.com/properties/9480375/1330848461/image-0-480x320.webp,1,"Regent are proud to present a one bedroom apartment located in one of two iconic hexagonal towers. The apartment provides spacious high-tec accommodation (which includes hyper optic broadband, self cleaning appliances and video entry). The apartment enjoys generous floor to ceiling heights and...",['New build'],1 bedroom apartment for sale,48092,/details/9480375/,https://media.onthemarket.com/properties/9480375/1330848461/image-0-480x320.jpg,"£695,000",True,True,/agents/contact/9480375/,/agents/contact/9480375/?form-name=details-contact,/agents/branch/regent-letting-and-property-management-waterloo/,False,https://media.onthemarket.com/agents/companies/7571/200309172310578/logo-100x65.jpg,Regent Letting & Property Management - Waterloo,020 8033 9950
10,,True,"The Atlas Building, City Road, EC1",https://media.onthemarket.com/properties/9463107/1322079135/image-0-480x320.jpg,https://media.onthemarket.com/properties/9463107/1322079135/image-0-480x320.webp,,"A two-bedroom apartment in The Atlas Building with a luxurious layout perfect for entertaining and offering  1,126 sq ft of internal living space.   Confident and contemporary, The Atlas Building is an inspired reflection of its surroundings. Standing on the axis of Shoreditch, Islington,...",['New build'],2 bedroom apartment for sale,22218,/details/9463107/,https://media.onthemarket.com/properties/9463107/1322079135/image-0-480x320.jpg,"£1,977,000",,True,/agents/contact/9463107/,/agents/contact/9463107/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,"JLL - London, New Homes",020 8022 7133
23,,True,"The Atlas Building, City Road, EC1",https://media.onthemarket.com/properties/7258064/1321950280/image-0-480x320.jpg,https://media.onthemarket.com/properties/7258064/1321950280/image-0-480x320.webp,1,This fantastic three bedroom apartment benefits from two private balconies overlooking the City. The luxurious layout allows for generous living space while floor to ceiling windows throughout offer amazing views and light.,['New build'],3 bedroom apartment for sale,22218,/details/7258064/,https://media.onthemarket.com/properties/7258064/1321950280/image-0-480x320.jpg,"£2,399,000",True,True,/agents/contact/7258064/,/agents/contact/7258064/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,"JLL - London, New Homes",020 8022 7133
2,,True,"Stamford Road, Dalston, London, N1",https://media.onthemarket.com/properties/9391161/1332544558/image-0-480x320.jpg,https://media.onthemarket.com/properties/9391161/1332544558/image-0-480x320.webp,1,"An exciting new development in this most central and convenient position for De Beauvoir Town and Dalston. Dalston has enjoyed a major regeneration programme which has created a vibrant and cosmopolitan hot spot, offering a wide choice of exciting young restaurants, leisure, fashionable shopping...",['New build'],2 bedroom apartment for sale,55104,/details/9391161/,https://media.onthemarket.com/properties/9391161/1332544558/image-0-480x320.jpg,"£635,000",True,True,/agents/contact/9391161/,/agents/contact/9391161/?form-name=details-contact,/agents/branch/neilson-and-bauer-islington/,False,https://media.onthemarket.com/agents/branches/55104/200918122809383/logo-100x65.jpg,Neilson & Bauer - Islington,020 8128 9970
2,Guide price,True,"Stamford Road, Dalston, London, N1",https://media.onthemarket.com/properties/9391087/1319408155/image-0-480x320.jpg,https://media.onthemarket.com/properties/9391087/1319408155/image-0-480x320.webp,1,"An exciting new development in this most central and convenient position for De Beauvoir Town and Dalston. Dalston has enjoyed a major regeneration programme which has created a vibrant and cosmopolitan hot spot, offering a wide choice of exciting young restaurants, leisure, fashionable shopping...",['New build'],1 bedroom apartment for sale,55104,/details/9391087/,https://media.onthemarket.com/properties/9391087/1319408155/image-0-480x320.jpg,"£475,000",True,True,/agents/contact/9391087/,/agents/contact/9391087/?form-name=details-contact,/agents/branch/neilson-and-bauer-islington/,False,https://media.onthemarket.com/agents/branches/55104/200918122809383/logo-100x65.jpg,Neilson & Bauer - Islington,020 8128 9970
