images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
1,,True,"Block B, Hartingtons Apartments, Woodberry Down, London N4",https://media.onthemarket.com/properties/9340389/1318212467/image-1-480x320.jpeg,https://media.onthemarket.com/properties/9340389/1318212467/image-1-480x320.webp,1,"We are pleased to present this fantastic opportunity to acquire off-plan resale unit at Hartingtons, Woodberry Down by Berkeley Homes. The development is due to complete in Q2 - 2021 and offers this 8th floor apartment with a mesmerising views of landscaped gardens and West Reservoir. The...",['New build'],2 bedroom apartment for sale,9340389,/details/9340389/,https://media.onthemarket.com/properties/9340389/1318212467/image-1-480x320.jpeg,"£830,000",True,True,/agents/contact/9340389/,/agents/contact/9340389/?form-name=details-contact,/agents/branch/monteo-london-london/,False,https://media.onthemarket.com/agents/branches/55237/200911190443182/logo-100x65.jpg,55237,Monteo London - London,020 3641 9908
7,,True,"Plot 04.08 Hartingtons, Woodberry Down, N4",https://media.onthemarket.com/properties/9308993/1324467768/image-0-480x320.jpg,https://media.onthemarket.com/properties/9308993/1324467768/image-0-480x320.webp,1,"Two Bedroom reassignment for sale in Hartingtons, Woodberry Down N4 Reassignment off -plan Two Bedroom, one-bathroom apartment situated in Block B, The Hartingtons, Woodberry Down. This fourth floor, apartment is 676 sq.ft  (62.8 sq.m)  with external balcony space of 71 sq.ft (6.6 sq.m) which is...",['New build'],2 bedroom apartment for sale,9308993,/details/9308993/,https://media.onthemarket.com/properties/9308993/1324467768/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/9308993/,/agents/contact/9308993/?form-name=details-contact,/agents/branch/cbre-london-canary-wharf/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,37798,"CBRE Residential - London, Canary Wharf",020 8022 6426
12,,True,"City North, Finsbury Park, N4",https://media.onthemarket.com/properties/9258764/1332816744/image-0-480x320.jpg,https://media.onthemarket.com/properties/9258764/1332816744/image-0-480x320.webp,2,Garrison Estates are proud to present undoubtedly the finest two bedroom apartment in the prestigious City North development.  ,"['Online viewing', 'New build']",2 bedroom penthouse for sale,9258764,/details/9258764/,https://media.onthemarket.com/properties/9258764/1332816744/image-0-480x320.jpg,"£1,200,000",True,True,/agents/contact/9258764/,/agents/contact/9258764/?form-name=details-contact,/agents/branch/garrison-estates-notting-hill/,False,https://media.onthemarket.com/agents/branches/55069/200805130046018/logo-100x65.png,55069,Garrison Estates - Notting Hill,020 3641 0694
9,,True,Woodberry Down London N4,https://media.onthemarket.com/properties/8845140/1304470112/image-0-480x320.jpg,https://media.onthemarket.com/properties/8845140/1304470112/image-0-480x320.webp,1,"Introducing The Townhouse Collection at Springpark Drive, a collection of just seven impeccable townhouses. With exceptional finishes throughout, these luxurious three to four bedroom townhouses offer multi- storey living at its finest. Featuring stunning roof terraces, The Townhouse Collection...",['New build'],3 bedroom townhouse for sale,8845140,/details/8845140/,https://media.onthemarket.com/properties/8845140/1304470112/image-0-480x320.jpg,"£1,200,000",True,True,/agents/contact/8845140/,/agents/contact/8845140/?form-name=details-contact,/agents/branch/jll-finsbury-park/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,37693,JLL - Finsbury Park,020 8022 7023
9,,True,Springpark Drive Wooderry Down N4,https://media.onthemarket.com/properties/8844945/1304457743/image-0-480x320.jpg,https://media.onthemarket.com/properties/8844945/1304457743/image-0-480x320.webp,1,"Introducing The Townhouse Collection at Springpark Drive, a collection of just seven impeccable townhouses. With exceptional finishes throughout, these luxurious three to four bedroom townhouses offer multi- storey living at its finest. Featuring stunning roof terraces, The Townhouse Collection...",['New build'],3 bedroom townhouse for sale,8844945,/details/8844945/,https://media.onthemarket.com/properties/8844945/1304457743/image-0-480x320.jpg,"£1,500,000",True,True,/agents/contact/8844945/,/agents/contact/8844945/?form-name=details-contact,/agents/branch/jll-finsbury-park/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,37693,JLL - Finsbury Park,020 8022 7023
16,,True,"Hartingtons, Woodberry Down, London, N4",https://media.onthemarket.com/properties/8813875/1313566646/image-0-480x320.jpg,https://media.onthemarket.com/properties/8813875/1313566646/image-0-480x320.webp,1,"This elegant 1 bedroom apartment set within Hartingtons offers a contemporary open plan reception, kitchen & dining area; complimented by the floor to ceiling windows & terrace doors maximising space & light. Spacious bedroom, luxurious bathroom, unfaltering attention to detail synonymous with...",['New build'],1 bedroom apartment for sale,8813875,/details/8813875/,https://media.onthemarket.com/properties/8813875/1313566646/image-0-480x320.jpg,"£495,000",True,True,/agents/contact/8813875/,/agents/contact/8813875/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
3,Offers in excess of,True,"City North East Tower, 3 City North Place, London, N4",https://media.onthemarket.com/properties/8599072/1332581105/image-0-480x320.jpg,https://media.onthemarket.com/properties/8599072/1332581105/image-0-480x320.webp,2,INCREDIBLE VALUE ONLY £680 / SQ FT | SUPERB 1173 SQ FT 4 BEDROOM APARTMENT IN CITY NORTH FINSBURY PARK | 2 TERRACES TOTALLING OVER 860 SQ FT | 2nd FLOOR TRIPLE ASPECT APARTMENT | COMPLETELY UNIQUE WITHIN THE DEVELOPMENT | COMPLETION DUE Q3 2020 | ASSIGNMENT SALE |This apartment is the perfect...,['New build'],4 bedroom apartment for sale,8599072,/details/8599072/,https://media.onthemarket.com/properties/8599072/1332581105/image-0-480x320.jpg,"£800,000",True,True,/agents/contact/8599072/,/agents/contact/8599072/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
2,,True,"Woodberry Down , London, N4",https://media.onthemarket.com/properties/8200668/1285468634/image-0-480x320.jpg,https://media.onthemarket.com/properties/8200668/1285468634/image-0-480x320.webp,,"A magnificent 2 bedroom Apartment in a wonderful location, situated in London N4, offering amazing comfortable living and convenience with simplicity.",['New build'],2 bedroom apartment for sale,8200668,/details/8200668/,https://media.onthemarket.com/properties/8200668/1285468634/image-0-480x320.jpg,"£735,000",,True,/agents/contact/8200668/,/agents/contact/8200668/?form-name=details-contact,/agents/branch/chain-residential-london/,False,https://media.onthemarket.com/agents/companies/3280/151216144017913/logo-100x65.jpg,40688,Chain Residential - London,020 8022 0739
3,,True,"Woodberry Down, Manor House , London, N4",https://media.onthemarket.com/properties/7909644/1207709376/image-0-480x320.jpg,https://media.onthemarket.com/properties/7909644/1207709376/image-0-480x320.webp,,"A magnificent 1 bedroom Apartment in a wonderful location, situated in London N4, offering amazing comfortable living and convenience with simplicity.",['New build'],1 bedroom apartment for sale,7909644,/details/7909644/,https://media.onthemarket.com/properties/7909644/1207709376/image-0-480x320.jpg,"£588,000",,True,/agents/contact/7909644/,/agents/contact/7909644/?form-name=details-contact,/agents/branch/chain-residential-london/,False,https://media.onthemarket.com/agents/companies/3280/151216144017913/logo-100x65.jpg,40688,Chain Residential - London,020 8022 0739
13,,True,"City North, Finsbury Park, N4",https://media.onthemarket.com/properties/7291354/1305619261/image-0-480x320.jpg,https://media.onthemarket.com/properties/7291354/1305619261/image-0-480x320.webp,1,"City North is set across four sleek and stylish buildings including two awe-inspiring towers, this exclusive collection of spacious 2, 3 & 4 bedroom apartments, Sky Villas & penthouses offers you the very best of 360º living, only 15 minutes from the heart of the City of London. A new landmark...","['Online viewing', 'New build']",2 bedroom apartment for sale,7291354,/details/7291354/,https://media.onthemarket.com/properties/7291354/1305619261/image-0-480x320.jpg,"£757,500",True,True,/agents/contact/7291354/,/agents/contact/7291354/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22218,"JLL - London, New Homes",020 8022 7133
13,Offers in excess of,True,"Sandpiper, Woodberry Down, Finsbury Park, London, N4",https://media.onthemarket.com/properties/4527932/1332832599/image-0-480x320.jpg,https://media.onthemarket.com/properties/4527932/1332832599/image-0-480x320.webp,2,"A beautiful 537 square foot one bedroom apartment located in Woodberry Down, Finsbury Park. The Sandpiper offers much more than a high quality finish one bedroom apartment.It offers an exquisite lifestyle which is like no other. With 42 acres of serene open water and 14 acres of parkland and...",['New build'],1 bedroom apartment for sale,4527932,/details/4527932/,https://media.onthemarket.com/properties/4527932/1332832599/image-0-480x320.jpg,"£500,000",True,True,/agents/contact/4527932/,/agents/contact/4527932/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
5,Offers in excess of,True,"Kingly Building, 18 Woodberry Down, London, N4",https://media.onthemarket.com/properties/4435871/1316676212/image-0-480x320.jpg,https://media.onthemarket.com/properties/4435871/1316676212/image-0-480x320.webp,2,Stunning 750 Sq Ft 2 Bed 2 Bath | 8th Floor | South East Aspect With Direct Views of West Reservoir | Best Value Two Bed Currently On The Market | Immaculate Condition | Tenanted ( 2months notice) | Service Charge Estimated £3600 per annum | Lease term: 297 Years | Investment Opportunity - 3.7 %...,['New build'],2 bedroom apartment for sale,4435871,/details/4435871/,https://media.onthemarket.com/properties/4435871/1316676212/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/4435871/,/agents/contact/4435871/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
