id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9527589,11,,True,"Homestead Heights (Apt 1), Crouch End, N8",https://media.onthemarket.com/properties/9527589/1329665215/image-0-480x320.jpg,https://media.onthemarket.com/properties/9527589/1329665215/image-0-480x320.webp,1,"1 Homestead Heights – 2 Bedrooms, 2 Bathrooms, Terrace with views over Alexandra Palace£675,000 – 832sqft/77.29m2. 1st FloorA fabulous collection of 18 luxury new build apartments, positioned within a moment’s walk of one of North London’s premier urban villages.",['New build'],2 bedroom apartment for sale,/details/9527589/,https://media.onthemarket.com/properties/9527589/1329665215/image-0-480x320.jpg,"£675,000",True,True,/agents/contact/9527589/,/agents/contact/9527589/?form-name=details-contact,/agents/branch/castles-estate-agents-crouch-end/,False,https://media.onthemarket.com/agents/companies/8321/181026134629807/logo-100x65.jpg,49492,Castles Estate Agents - Crouch End,020 8033 5038
9527585,8,,True,"Homestead Heights (Apt 18), Crouch End, N8",https://media.onthemarket.com/properties/9527585/1329665207/image-0-480x320.jpg,https://media.onthemarket.com/properties/9527585/1329665207/image-0-480x320.webp,1,"18 Homestead Heights – 2 Bedrooms, 1 Bathroom with Southerly-Facing terrace£625,000 – 739sqft/68.69sm2. 3rd FloorA fabulous collection of 18 luxury new build apartments, positioned within a moment’s walk of one of North London’s premier urban villages.",['New build'],2 bedroom apartment for sale,/details/9527585/,https://media.onthemarket.com/properties/9527585/1329665207/image-0-480x320.jpg,"£625,000",True,True,/agents/contact/9527585/,/agents/contact/9527585/?form-name=details-contact,/agents/branch/castles-estate-agents-crouch-end/,False,https://media.onthemarket.com/agents/companies/8321/181026134629807/logo-100x65.jpg,49492,Castles Estate Agents - Crouch End,020 8033 5038
5172155,5,Guide price,True,"Hornsey Town Hall, Crouch End, London, N8",https://media.onthemarket.com/properties/5172155/1333869196/image-0-480x320.jpg,https://media.onthemarket.com/properties/5172155/1333869196/image-0-480x320.webp,1,"PLOT OF THE WEEK - Situated on the ground floor, this two bed, two bath apartment is finished to the highest quality, benefiting from a sizeable south facing balcony.",['New build'],2 bedroom flat for sale,/details/5172155/,https://media.onthemarket.com/properties/5172155/1333869196/image-0-480x320.jpg,"£620,000",True,True,/agents/contact/5172155/,/agents/contact/5172155/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
9496924,10,,True,"Purser Court, London, N8",https://media.onthemarket.com/properties/9496924/1332311572/image-0-480x320.jpg,https://media.onthemarket.com/properties/9496924/1332311572/image-0-480x320.webp,1,"Hawkes are delighted to present to you this bright and airy two bedroom flat in the highly sought after Purser Court, within the new Smithfield Square development, N8.","['Online viewing', 'New build']",2 bedroom apartment for sale,/details/9496924/,https://media.onthemarket.com/properties/9496924/1332311572/image-0-480x320.jpg,"£560,000",True,True,/agents/contact/9496924/,/agents/contact/9496924/?form-name=details-contact,/agents/branch/hawkes-property-group-newington/,False,https://media.onthemarket.com/agents/companies/6971/180625112752856/logo-100x65.png,47233,Hawkes Property Group - Newington,020 8115 0698
9478417,4,Guide price,True,"Hornsey Town Hall, Crouch End, London, N8",https://media.onthemarket.com/properties/9478417/1333869198/image-0-480x320.jpg,https://media.onthemarket.com/properties/9478417/1333869198/image-0-480x320.webp,1,"The development is set around the restoration of the iconic Grade II listed Hornsey Town Hall. The Town Hall will house a new art-centre, co-working space and hotel. l",['New build'],2 bedroom flat for sale,/details/9478417/,https://media.onthemarket.com/properties/9478417/1333869198/image-0-480x320.jpg,"£684,950",True,True,/agents/contact/9478417/,/agents/contact/9478417/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
9469293,10,Guide price,True,"Eden House, New Road, London, N8",https://media.onthemarket.com/properties/9469293/1333865603/image-0-480x320.jpg,https://media.onthemarket.com/properties/9469293/1333865603/image-0-480x320.webp,1,"Eden House is an innovative and stylish collection of apartments and family homes, located in the heart of vibrant and creative Crouch End.",['New build'],4 bedroom mews for sale,/details/9469293/,https://media.onthemarket.com/properties/9469293/1333865603/image-0-480x320.jpg,"£1,450,000",True,True,/agents/contact/9469293/,/agents/contact/9469293/?form-name=details-contact,/agents/branch/savills-hackney-wick-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,48663,Savills - Hackney Wick New Homes,020 8033 5571
9469288,4,Guide price,True,"Hornsey Town Hall, Crouch End, London, N8",https://media.onthemarket.com/properties/9469288/1335308107/image-0-480x320.bmp,https://media.onthemarket.com/properties/9469288/1335308107/image-0-480x320.webp,1,"The development is set around the restoration of the iconic Grade II* listed Hornsey Town Hall. The Town Hall will house a new art-centre, co-working space and hotel.",['New build'],2 bedroom flat for sale,/details/9469288/,https://media.onthemarket.com/properties/9469288/1335308107/image-0-480x320.bmp,"£709,950",True,True,/agents/contact/9469288/,/agents/contact/9469288/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
9469286,7,Guide price,True,"Eden House, New Road, London, N8",https://media.onthemarket.com/properties/9469286/1322197061/image-0-480x320.jpg,https://media.onthemarket.com/properties/9469286/1322197061/image-0-480x320.webp,1,"Eden House is an innovative and stylish collection of apartments and family homes, located in the heart of vibrant and creative Crouch End.",['New build'],2 bedroom flat for sale,/details/9469286/,https://media.onthemarket.com/properties/9469286/1322197061/image-0-480x320.jpg,"£845,000",True,True,/agents/contact/9469286/,/agents/contact/9469286/?form-name=details-contact,/agents/branch/savills-hackney-wick-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,48663,Savills - Hackney Wick New Homes,020 8033 5571
9382319,15,,True,"Evergreen, Harringay, N8",https://media.onthemarket.com/properties/9382319/1319238486/image-0-480x320.jpg,https://media.onthemarket.com/properties/9382319/1319238486/image-0-480x320.webp,1,"Open for marketing suite appointments, or contact us to arrange your virtual viewing.  Surrounded by the eclectic energy of North London, Evergreen is an elegant enclave of modern homes with a tranquil garden square at its heart. Set amongst the bustling life of Green Lanes, residents at...",['New build'],1 bedroom apartment for sale,/details/9382319/,https://media.onthemarket.com/properties/9382319/1319238486/image-0-480x320.jpg,"£450,000",True,True,/agents/contact/9382319/,/agents/contact/9382319/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22218,"JLL - London, New Homes",020 8022 7133
9382316,13,,True,"Evergreen, Harringay, N8",https://media.onthemarket.com/properties/9382316/1334298966/image-0-480x320.jpg,https://media.onthemarket.com/properties/9382316/1334298966/image-0-480x320.webp,1,"Open for marketing suite appointments, or contact us to arrange your virtual viewingSurrounded by the eclectic energy of North London, Evergreen is an elegant enclave of modern homes with a tranquil garden square at its heart. Set amongst the bustling life of Green Lanes, residents at Evergreen...",['New build'],2 bedroom apartment for sale,/details/9382316/,https://media.onthemarket.com/properties/9382316/1334298966/image-0-480x320.jpg,"£585,000",True,True,/agents/contact/9382316/,/agents/contact/9382316/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22218,"JLL - London, New Homes",020 8022 7133
