images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
29,Offers over,True,"collins building 1, wilkinson close NW2",https://media.onthemarket.com/properties/8267367/1317287112/image-1-480x320.jpg,https://media.onthemarket.com/properties/8267367/1317287112/image-1-480x320.webp,,Brand new ground floor flat.997 years lease remaining.Private parking space.Private Gym2 bedrooms 2 modern bathrooms.1 spacious living room with a huge kitchen area. Private balcony.Wooden floor24 hours concierge service. Highly secured modern brand new flat. ,['New build'],2 bedroom flat for sale,8267367,/details/8267367/,https://media.onthemarket.com/properties/8267367/1317287112/image-1-480x320.jpg,"£485,000",,True,/agents/contact/8267367/,/agents/contact/8267367/?form-name=details-contact,/agents/branch/half-moon-estate-kilburn/,False,https://media.onthemarket.com/agents/branches/52222/190923151855150/logo-100x65.jpg,52222,Half Moon Estate - Kilburn,020 8022 2834
5,Shared ownership,True,"Cricklewood Lane, London",https://media.onthemarket.com/properties/8258965/1289836911/image-0-480x320.jpg,https://media.onthemarket.com/properties/8258965/1289836911/image-0-480x320.webp,,"Last 3 Plots Remaining - At Zest, you will find a selection of 1, 2 and 3 bedroom Shared Ownership apartments situated in the highly sought-after location of Cricklewood Lane. Last 3 apartments remaining! Call now to book your slot",['New build'],1 bedroom flat for sale,8258965,/details/8258965/,https://media.onthemarket.com/properties/8258965/1289836911/image-0-480x320.jpg,"£94,375",,True,/agents/contact/8258965/,/agents/contact/8258965/?form-name=details-contact,/agents/branch/haart-estate-agents-wembley/,False,https://media.onthemarket.com/agents/companies/1083/190920101155533/logo-100x65.png,5432,haart Estate Agents - Wembley,020 8022 6543
7,Offers in excess of,True,"Burnell Building, Fellows Square, 1 Wilkinson Close, NW2",https://media.onthemarket.com/properties/5697637/1317101445/image-0-480x320.jpg,https://media.onthemarket.com/properties/5697637/1317101445/image-0-480x320.webp,2,"1 Bed Apartment | Open plan Reception | 2 Balconies | 574 Sq Ft | Concirege | Gym | Secure Parking | Cycle Storage | Cricklewood Railway Station | Gr £350pa | Sc £2,200 | Leasehold 997 years | New | Communal Gardens | Tenanted until Dec 2020- 4% NET YieldThis brand new, dual-aspect apartment...",['New build'],1 bedroom apartment for sale,5697637,/details/5697637/,https://media.onthemarket.com/properties/5697637/1317101445/image-0-480x320.jpg,"£425,000",True,True,/agents/contact/5697637/,/agents/contact/5697637/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
13,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/4486671/1231162658/image-0-480x320.jpg,https://media.onthemarket.com/properties/4486671/1231162658/image-0-480x320.webp,1,"Large 2 bedroom apartment for sale

A spacious 2 bedroom open plan apartment featuring contemporary design and quality finish throughout. These apartments all have high ceilings and large terraces with park views.  

Bespoke fitted kitchens with integrated Siemens appliances. Tastefull...",['New build'],2 bedroom flat for sale,4486671,/details/4486671/,https://media.onthemarket.com/properties/4486671/1231162658/image-0-480x320.jpg,"£995,000",True,True,/agents/contact/4486671/,/agents/contact/4486671/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,37788,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
13,,True,"Apartment 7, Four 5 Two, Finchley Road, London, NW11",https://media.onthemarket.com/properties/7041251/1334707361/image-0-480x320.jpg,https://media.onthemarket.com/properties/7041251/1334707361/image-0-480x320.webp,1,"Large 2 bedroom apartment for sale

A very spacious 2 bedroom open plan apartment featuring contemporary design and quality finish throughout. These apartments all have high ceilings and large terraces with park views.  

Bespoke fitted kitchens with integrated Siemens appliances. Tast...",['New build'],2 bedroom flat for sale,7041251,/details/7041251/,https://media.onthemarket.com/properties/7041251/1334707361/image-0-480x320.jpg,"£1,200,000",True,True,/agents/contact/7041251/,/agents/contact/7041251/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,37788,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
13,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/7946286/1217260426/image-0-480x320.jpg,https://media.onthemarket.com/properties/7946286/1217260426/image-0-480x320.webp,1,"Large 3 bedroom apartment for sale

A spacious 3 bedroom open plan apartment featuring contemporary design and quality finish throughout. These apartments all have high ceilings and large terraces with park views.  

Bespoke fitted kitchens with integrated Siemens appliances. Tastefull...",['New build'],3 bedroom flat for sale,7946286,/details/7946286/,https://media.onthemarket.com/properties/7946286/1217260426/image-0-480x320.jpg,"£1,500,000",True,True,/agents/contact/7946286/,/agents/contact/7946286/?form-name=details-contact,/agents/branch/knight-frank-hampstead/,False,https://media.onthemarket.com/agents/branches/4817/150609133018154/logo-100x65.jpg,4817,Knight Frank - Hampstead,020 8022 7297
11,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/7890297/1297123177/image-0-480x320.jpg,https://media.onthemarket.com/properties/7890297/1297123177/image-0-480x320.webp,1,"Flat 2 - AVAILABLE FOR IMMEDIATE OCCUPATIONAn exquisite three bedroom first floor apartment (1590sqft / 148 sqm) with private terrace (49 sqft) and allocated off street parking forming part of a brand new development, Four5Two. (contd...)",['New build'],3 bedroom flat for sale,7890297,/details/7890297/,https://media.onthemarket.com/properties/7890297/1297123177/image-0-480x320.jpg,"£1,500,000",True,True,/agents/contact/7890297/,/agents/contact/7890297/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-hampstead/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27557,Goldschmidt & Howland - Hampstead,020 8022 7302
13,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/7890296/1297123087/image-0-480x320.jpg,https://media.onthemarket.com/properties/7890296/1297123087/image-0-480x320.webp,1,"Flat 3 - RESERVEDA stunning two double bedroom first floor apartment (1215sqft / 113 sqm) with private terrace (57 sqft) and allocated off street parking forming part of a brand new development, Four5Two. (contd...)",['New build'],2 bedroom flat for sale,7890296,/details/7890296/,https://media.onthemarket.com/properties/7890296/1297123087/image-0-480x320.jpg,"£1,100,000",True,True,/agents/contact/7890296/,/agents/contact/7890296/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-hampstead/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27557,Goldschmidt & Howland - Hampstead,020 8022 7302
13,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/7890295/1297123068/image-0-480x320.jpg,https://media.onthemarket.com/properties/7890295/1297123068/image-0-480x320.webp,1,"Flat 11 - AVAILABLE FOR IMMEDIATE OCCUPATIONAn outstanding three bedroom first floor apartment (1718sqft / 160 sqm) with private terrace (50 sqft) and allocated off street parking forming part of a brand new development, Four5Two. (contd...)",['New build'],3 bedroom flat for sale,7890295,/details/7890295/,https://media.onthemarket.com/properties/7890295/1297123068/image-0-480x320.jpg,"£1,600,000",True,True,/agents/contact/7890295/,/agents/contact/7890295/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-hampstead/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27557,Goldschmidt & Howland - Hampstead,020 8022 7302
13,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/7890166/1297123139/image-0-480x320.jpg,https://media.onthemarket.com/properties/7890166/1297123139/image-0-480x320.webp,1,"Flat 8 - SOLDA superb two double bedroom first floor apartment (1110sqft / 102 sqm) with private terrace (65 sqft) and allocated off street parking forming part of a brand new development, Four5Two. (contd...)",['New build'],2 bedroom flat for sale,7890166,/details/7890166/,https://media.onthemarket.com/properties/7890166/1297123139/image-0-480x320.jpg,"£995,000",True,True,/agents/contact/7890166/,/agents/contact/7890166/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-hampstead/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27557,Goldschmidt & Howland - Hampstead,020 8022 7302
