images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,base-contact-url,contact-url,details-url,development?,display-logo-url,name,telephone
10,,True,"One Casson Square, Southbank Place, Waterloo, SE1",https://media.onthemarket.com/properties/9422112/1328137414/image-0-480x320.jpg,https://media.onthemarket.com/properties/9422112/1328137414/image-0-480x320.webp,2,Incredible London Eye and River Thames Views | 32nd Floor | 1033 Sq Ft Two Bed Two Bath | Dual Aspect West & South | 80 Sq Ft Balcony | Upgraded Specification | 24Hr Concierge | Gymnasium & Swimming Pool | Incredible Location Moments from Waterloo Station | Luxury High Specification Development...,['New build'],2 bedroom apartment for sale,26009,/details/9422112/,https://media.onthemarket.com/properties/9422112/1328137414/image-0-480x320.jpg,"£2,170,000",True,True,/agents/contact/9422112/,/agents/contact/9422112/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,MyLondonHome,020 8033 1702
7,,True,"The Corniche, London, SE1",https://media.onthemarket.com/properties/9368004/1336396368/image-0-480x320.jpg,https://media.onthemarket.com/properties/9368004/1336396368/image-0-480x320.webp,1,"Finished to a high specification throughout, we present to you this stunning 1 bedroom, 1 bathroom apartment in the beautiful Corniche development. With 526 sq. ft.* of internal space, and offering sprawling views over its South Bank location.Designed by the internationally acclaimed...",['New build'],1 bedroom property for sale,49336,/details/9368004/,https://media.onthemarket.com/properties/9368004/1336396368/image-0-480x320.jpg,"£725,000",True,True,/agents/contact/9368004/,/agents/contact/9368004/?form-name=details-contact,/agents/branch/fraser-and-co-city-of-london/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,Fraser & Co - City Of London,020 8033 5241
7,Offers over,True,"Two Fifty One, 251 Southwark Bridge Road, SE1",https://media.onthemarket.com/properties/9360608/1332832629/image-0-480x320.jpg,https://media.onthemarket.com/properties/9360608/1332832629/image-0-480x320.webp,3,"An excellent one bedroom apartment is available to purchase in this exciting new development Two Fifty One, Southwark Bridge Road, moments from Elephant and Castle Station, part of the regeneration of the Zone One location. This 28th floor apartment comprises of a large open plan living area with...",['New build'],1 bedroom apartment for sale,26009,/details/9360608/,https://media.onthemarket.com/properties/9360608/1332832629/image-0-480x320.jpg,"£600,000",True,True,/agents/contact/9360608/,/agents/contact/9360608/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,MyLondonHome,020 8033 1702
8,,True,"Hurlock Heights, Elephant Park, Elephant & Castle SE17",https://media.onthemarket.com/properties/9357885/1318685742/image-0-480x320.jpg,https://media.onthemarket.com/properties/9357885/1318685742/image-0-480x320.webp,1,"619sq.ft. 8th floor one bed apartment set within Hurlock Heights, Elephant Park SE17. Comprising of a bright and airy living / dining area with full length windows, a bespoke modern fitted kitchen with integrated appliances and an additional 60sq/ft of dual aspect south-west facing balcony space....",['New build'],1 bedroom apartment for sale,45156,/details/9357885/,https://media.onthemarket.com/properties/9357885/1318685742/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/9357885/,/agents/contact/9357885/?form-name=details-contact,/agents/branch/chase-evans-elephant-and-castle/,False,https://media.onthemarket.com/agents/companies/5426/180720152135892/logo-100x65.jpg,Chase Evans - Elephant & Castle,020 8115 0997
20,,True,"8 Casson Square, Southbank Place, SE1",https://media.onthemarket.com/properties/9349428/1330602885/image-0-480x320.jpg,https://media.onthemarket.com/properties/9349428/1330602885/image-0-480x320.webp,,"Set in one of London’s most desirable riverside locations, adjacent to Westminster and next to the London Eye, 8 Casson Square celebrates the rich history and heritage of its surroundings. The combination of the intricate architectural design and the impressive location will together create some...",['New build'],2 bedroom apartment for sale,22218,/details/9349428/,https://media.onthemarket.com/properties/9349428/1330602885/image-0-480x320.jpg,"£1,890,000",,True,/agents/contact/9349428/,/agents/contact/9349428/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,"JLL - London, New Homes",020 8022 7133
19,,True,"8 Casson Square, Southbank Place, SE1",https://media.onthemarket.com/properties/9347141/1334299893/image-0-480x320.jpg,https://media.onthemarket.com/properties/9347141/1334299893/image-0-480x320.webp,,"Set in one of London’s most desirable riverside locations, adjacent to Westminster and next to the London Eye, 8 Casson Square celebrates the rich history and heritage of its surroundings. The combination of the intricate architectural design and the impressive location will together create some...",['New build'],2 bedroom penthouse for sale,22218,/details/9347141/,https://media.onthemarket.com/properties/9347141/1334299893/image-0-480x320.jpg,"£2,575,000",,True,/agents/contact/9347141/,/agents/contact/9347141/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,"JLL - London, New Homes",020 8022 7133
12,,True,"Triptych Bankside, 185 Park Street  London",https://media.onthemarket.com/properties/9329425/1329735894/image-0-480x320.jpg,https://media.onthemarket.com/properties/9329425/1329735894/image-0-480x320.webp,,A stunniing 3 bedroom apartment at Triptych Bankside  which will provide 169 new homes situated in the heart of London’s cultural Southbank.,['New build'],3 bedroom flat for sale,37823,/details/9329425/,https://media.onthemarket.com/properties/9329425/1329735894/image-0-480x320.jpg,"£2,990,000",,True,/agents/contact/9329425/,/agents/contact/9329425/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
10,,True,"Triptych Bankside, 185 Park Street  London",https://media.onthemarket.com/properties/9329423/1329735891/image-0-480x320.jpg,https://media.onthemarket.com/properties/9329423/1329735891/image-0-480x320.webp,,Stunning spacious two bedroom apartment at Triptych Bankside which will provide 169 new homes situated in the heart of London’s cultural Southbank.,['New build'],2 bedroom flat for sale,37823,/details/9329423/,https://media.onthemarket.com/properties/9329423/1329735891/image-0-480x320.jpg,"£1,890,000",,True,/agents/contact/9329423/,/agents/contact/9329423/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
15,,True,"30 Casson Square, London, SE1",https://media.onthemarket.com/properties/9321938/1317748413/image-0-480x320.jpg,https://media.onthemarket.com/properties/9321938/1317748413/image-0-480x320.webp,1,2 Bedroom | 2 Bathroom | 998 Sq. Ft | 18th Floor | London Landmark Views | Long LeaseBRAND NEW TWO bedroom apartment expanding over 998 Sq. Ft. of internal living space with a FANTASTIC VIEW of the ICONIC LONDON EYE! Positioned within the HOTTEST  development on the Southbank. Offering EXCELLENT...,"['Online viewing', 'New build']",2 bedroom apartment for sale,50192,/details/9321938/,https://media.onthemarket.com/properties/9321938/1317748413/image-0-480x320.jpg,"£1,600,000",True,True,/agents/contact/9321938/,/agents/contact/9321938/?form-name=details-contact,/agents/branch/life-residential-south-bank/,False,https://media.onthemarket.com/agents/companies/8638/181214144009850/logo-100x65.jpg,LIFE Residential - South Bank,020 8033 4429
20,Guide price,True,"30 Casson Square, Southbank Place, Waterloo, SE1",https://media.onthemarket.com/properties/4691866/1332463454/image-0-480x320.jpg,https://media.onthemarket.com/properties/4691866/1332463454/image-0-480x320.webp,2,"Stunning 379 Sq Ft Studio Apartment | 9th Floor | 379 Sq Ft Studio | 18,000 Sq Ft Private Resident Facilities | 24 Hr Concierge | Incredible Location moments from Waterloo Underground and Overground Station | High Specification | 999 Year Lease | Offered with no onward chain | Annual service...","['Online viewing', 'New build']",Studio for sale,26009,/details/4691866/,https://media.onthemarket.com/properties/4691866/1332463454/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/4691866/,/agents/contact/4691866/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,MyLondonHome,020 8033 1702
9,,True,"Triptych, London, SE1",https://media.onthemarket.com/properties/9282174/1332905523/image-0-480x320.jpg,https://media.onthemarket.com/properties/9282174/1332905523/image-0-480x320.webp,,A new mixed-use development designed by renowned London architects Squire & Partners on the Southbank of London.,['New build'],3 bedroom flat for sale,37767,/details/9282174/,https://media.onthemarket.com/properties/9282174/1332905523/image-0-480x320.jpg,"£3,100,000",,True,/agents/contact/9282174/,/agents/contact/9282174/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,"Savills - London, Margaret Street, New Homes",020 8022 6246
7,,True,"Triptych, 185 Park Street, London, SE1",https://media.onthemarket.com/properties/9282173/1332905510/image-0-480x320.jpg,https://media.onthemarket.com/properties/9282173/1332905510/image-0-480x320.webp,,A new mixed-use development designed by renowned London architects Squire & Partners on the Southbank of London.,['New build'],Studio for sale,37767,/details/9282173/,https://media.onthemarket.com/properties/9282173/1332905510/image-0-480x320.jpg,"£720,000",,True,/agents/contact/9282173/,/agents/contact/9282173/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,"Savills - London, Margaret Street, New Homes",020 8022 6246
7,,True,"Triptych, 185 Park Street, London, SE1",https://media.onthemarket.com/properties/9282170/1332905499/image-0-480x320.jpg,https://media.onthemarket.com/properties/9282170/1332905499/image-0-480x320.webp,,A new mixed-use development designed by renowned London architects Squire & Partners on the Southbank of London.,['New build'],1 bedroom flat for sale,37767,/details/9282170/,https://media.onthemarket.com/properties/9282170/1332905499/image-0-480x320.jpg,"£945,000",,True,/agents/contact/9282170/,/agents/contact/9282170/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,"Savills - London, Margaret Street, New Homes",020 8022 6246
10,,True,"Eight Casson Square, London, SE1",https://media.onthemarket.com/properties/9280060/1335553990/image-0-480x320.jpg,https://media.onthemarket.com/properties/9280060/1335553990/image-0-480x320.webp,1,2 Bedroom  | 778 sq. ft. | 2 Bathroom | 12th Floor | East Aspect | Stunning River Views  | Secure Underground Parking Available  | Additional Winter Garden | 24h Concierge Service | 18000 sq. ft of the best facilities in available in London | Ready To Move Into | 30 seconds to Waterloo Station....,['New build'],2 bedroom flat for sale,49334,/details/9280060/,https://media.onthemarket.com/properties/9280060/1335553990/image-0-480x320.jpg,"£1,300,000",True,True,/agents/contact/9280060/,/agents/contact/9280060/?form-name=details-contact,/agents/branch/fraser-and-co-paddington/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,Fraser & Co - Paddington,020 8033 5238
11,Guide price,True,"One Casson Sq, Southbank Place, SE1",https://media.onthemarket.com/properties/9254693/1337397880/image-0-480x320.jpg,https://media.onthemarket.com/properties/9254693/1337397880/image-0-480x320.webp,1,"Resale of an off plan apartment to be completed Oct 2020. Original price - £1,490,000.  21st floor. 2 Bedrooms. 2 Bathrooms. 24 Hour Concierge. Juliet balcony. Lounge. Residents' Gym and Swimming Pool",['New build'],2 bedroom apartment for sale,41632,/details/9254693/,https://media.onthemarket.com/properties/9254693/1337397880/image-0-480x320.jpg,"£1,499,500",True,True,/agents/contact/9254693/,/agents/contact/9254693/?form-name=details-contact,/agents/branch/londondom-london/,False,https://media.onthemarket.com/agents/companies/3882/160407150846030/logo-100x65.png,LondonDom - London,020 3544 5359
25,Price on application,True,"Southbank Tower, 55 Upper Ground, London, SE1",https://media.onthemarket.com/properties/9224321/1325528446/image-0-480x320.jpg,https://media.onthemarket.com/properties/9224321/1325528446/image-0-480x320.webp,1,"This 40th floor duplex Penthouse is available Sold as seen. With over 4000 sq ft ( Approx 4394 sq ft, 408 sq m ) of open space and a South facing private rooftop terrace in the heart of Southbank. There is a wealth of opportunity to completely customise the arrangement of this spectacular penthouse.","['Online viewing', 'New build']",4 bedroom penthouse for sale,22221,/details/9224321/,https://media.onthemarket.com/properties/9224321/1325528446/image-0-480x320.jpg,,True,True,/agents/contact/9224321/,/agents/contact/9224321/?form-name=details-contact,/agents/branch/jll-city/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,JLL - City,020 8022 7226
27,Price on application,True,Southbank Tower 55 Upper Ground London SE1,https://media.onthemarket.com/properties/9224317/1314865433/image-0-480x320.jpg,https://media.onthemarket.com/properties/9224317/1314865433/image-0-480x320.webp,1,"This 39th floor duplex Penthouse is available Sold as seen. Floor to ceiling windows provide panoramic city views and views of the River Thames in over 4000 sq ft ( Approx 4436 sq ft, 412 sq m ) of completely customisable open space, located in the heart of Southbank. The bonus to this space...","['Online viewing', 'New build']",4 bedroom penthouse for sale,22221,/details/9224317/,https://media.onthemarket.com/properties/9224317/1314865433/image-0-480x320.jpg,,True,True,/agents/contact/9224317/,/agents/contact/9224317/?form-name=details-contact,/agents/branch/jll-city/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,JLL - City,020 8022 7226
8,,True,"Triptych Bankside, 185 Park Street, London",https://media.onthemarket.com/properties/9201660/1329735886/image-0-480x320.jpg,https://media.onthemarket.com/properties/9201660/1329735886/image-0-480x320.webp,,This is a spacious 3 bedroom flat situated in Triptych Bankside which will provide 169 new homes situated in the heart of London’s cultural Southbank.,['New build'],3 bedroom flat for sale,37823,/details/9201660/,https://media.onthemarket.com/properties/9201660/1329735886/image-0-480x320.jpg,"£2,445,000",,True,/agents/contact/9201660/,/agents/contact/9201660/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
5,,True,"Triptych Bankside, 185 Park Street, London",https://media.onthemarket.com/properties/9201659/1329735850/image-0-480x320.jpg,https://media.onthemarket.com/properties/9201659/1329735850/image-0-480x320.webp,,This is a stunning 1 bedroom flat situated in Triptych Bankside which will provide 169 new homes situated in the heart of London’s cultural Southbank.,['New build'],1 bedroom flat for sale,37823,/details/9201659/,https://media.onthemarket.com/properties/9201659/1329735850/image-0-480x320.jpg,"£930,000",,True,/agents/contact/9201659/,/agents/contact/9201659/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
5,,True,"Triptych Bankside Park Street, 185 Park Street, London",https://media.onthemarket.com/properties/9201657/1329735849/image-0-480x320.jpg,https://media.onthemarket.com/properties/9201657/1329735849/image-0-480x320.webp,,This is a brand new studio flat situated in Triptych Bankside which will provide 169 new homes situated in the heart of London’s cultural SouthbankTriptych Bankside will provide 169 new homes situated in the heart London’s cultural Southbank.,['New build'],Studio for sale,37823,/details/9201657/,https://media.onthemarket.com/properties/9201657/1329735849/image-0-480x320.jpg,"£720,000",,True,/agents/contact/9201657/,/agents/contact/9201657/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
7,,True,"Triptych Bankside, 185 Park Street, London",https://media.onthemarket.com/properties/9201656/1329735851/image-0-480x320.jpg,https://media.onthemarket.com/properties/9201656/1329735851/image-0-480x320.webp,,This is a spacious 2 bedroom flat situated in Triptych Bankside which will provide 169 new homes situated in the heart of London’s cultural Southbank.,['New build'],2 bedroom flat for sale,37823,/details/9201656/,https://media.onthemarket.com/properties/9201656/1329735851/image-0-480x320.jpg,"£1,555,000",,True,/agents/contact/9201656/,/agents/contact/9201656/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
13,Coming soon,True,"3 bedroom apartment at Lazenby Square SO, 40 Crimscott Street SE1",https://media.onthemarket.com/properties/9165662/1337082714/image-0-480x320.jpg,https://media.onthemarket.com/properties/9165662/1337082714/image-0-480x320.webp,,"Rich Estate is a desirable new development offering 1, 2 & 3 bedroom Shared Ownership homes in a prime central London location.",['New build'],3 bedroom apartment for sale,55109,/details/9165662/,https://media.onthemarket.com/properties/9165662/1337082714/image-0-480x320.jpg,,,True,/agents/contact/9165662/,/agents/contact/9165662/?form-name=details-contact,/new-homes/developers/development/lazenby-square-so-55109/,True,https://media.onthemarket.com/agents/companies/10420/200617115741678/logo-100x65.png,Peabody - Lazenby Square SO,020 3641 9106
12,Coming soon,True,"2 bed apartment at Lazenby Square SO, 40 Crimscott Street SE1",https://media.onthemarket.com/properties/9165603/1337082481/image-0-480x320.jpg,https://media.onthemarket.com/properties/9165603/1337082481/image-0-480x320.webp,,"Lazenby Square is a desirable new development offering 1, 2 & 3 bedroom Shared Ownership homes in a prime central London location.",['New build'],2 bedroom apartment for sale,55109,/details/9165603/,https://media.onthemarket.com/properties/9165603/1337082481/image-0-480x320.jpg,,,True,/agents/contact/9165603/,/agents/contact/9165603/?form-name=details-contact,/new-homes/developers/development/lazenby-square-so-55109/,True,https://media.onthemarket.com/agents/companies/10420/200617115741678/logo-100x65.png,Peabody - Lazenby Square SO,020 3641 9106
9,Coming soon,True,"1 Bedroom Apartment at Lazenby Square SO, 40 Crimscott Street SE1",https://media.onthemarket.com/properties/9165566/1337081583/image-0-480x320.jpg,https://media.onthemarket.com/properties/9165566/1337081583/image-0-480x320.webp,,"Lazenby Square is a desirable new development offering 1, 2 & 3 bedroom Shared Ownership homes in a prime central London location.",['New build'],1 bedroom apartment for sale,55109,/details/9165566/,https://media.onthemarket.com/properties/9165566/1337081583/image-0-480x320.jpg,,,True,/agents/contact/9165566/,/agents/contact/9165566/?form-name=details-contact,/new-homes/developers/development/lazenby-square-so-55109/,True,https://media.onthemarket.com/agents/companies/10420/200617115741678/logo-100x65.png,Peabody - Lazenby Square SO,020 3641 9106
