images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
7,,True,"Courtyard, Greenwich Square, 1-3 Lambarde Square, Greenwich, London, SE10",https://media.onthemarket.com/properties/9716521/1336426952/image-0-480x320.jpg,https://media.onthemarket.com/properties/9716521/1336426952/image-0-480x320.webp,,The Courtyard at Greenwich Square offers the brightest new homes in the capital and is set around a stunning residents' garden square.,['New build'],2 bedroom flat for sale,9716521,/details/9716521/,https://media.onthemarket.com/properties/9716521/1336426952/image-0-480x320.jpg,"£632,500",,True,/agents/contact/9716521/,/agents/contact/9716521/?form-name=details-contact,/agents/branch/savills-canary-wharf-residential-development-sales/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37739,"Savills - Canary Wharf, Residential Development Sales",020 8022 6373
10,,True,"Conington Road, Lewisham, London, SE13 7FF",https://media.onthemarket.com/properties/9158038/1328507275/image-0-480x320.jpg,https://media.onthemarket.com/properties/9158038/1328507275/image-0-480x320.webp,,"Hunters are pleased to present this one bedroom apartment situated on the first floor of the sought after Silkworks development, Lewisham with a private balcony.   ",['New build'],1 bedroom flat for sale,9158038,/details/9158038/,https://media.onthemarket.com/properties/9158038/1328507275/image-0-480x320.jpg,"£315,000",,True,/agents/contact/9158038/,/agents/contact/9158038/?form-name=details-contact,/agents/branch/hunters-greenwich/,False,https://media.onthemarket.com/agents/companies/495/161111082254267/logo-100x65.jpg,47308,Hunters - Greenwich,020 8128 9853
5,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/9612925/1326047688/image-0-480x320.jpg,https://media.onthemarket.com/properties/9612925/1326047688/image-0-480x320.webp,1,"Coming Soon to Greenwich is Teulon House! A fantastic 2 bedroom apartment with a private terrace, perfectly located within an easy reach of Blackheath Village and Greenwich Park. Viewings by appointment only.",['New build'],2 bedroom flat for sale,9612925,/details/9612925/,https://media.onthemarket.com/properties/9612925/1326047688/image-0-480x320.jpg,"£580,000",True,True,/agents/contact/9612925/,/agents/contact/9612925/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
5,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/9612914/1326047503/image-0-480x320.jpg,https://media.onthemarket.com/properties/9612914/1326047503/image-0-480x320.webp,1,Coming Soon to Greenwich is Teulon House! This spacious 2 bedroom apartment is within reach of Blackheath Village and Greenwich Park. Viewings by appointment only.,['New build'],2 bedroom flat for sale,9612914,/details/9612914/,https://media.onthemarket.com/properties/9612914/1326047503/image-0-480x320.jpg,"£560,000",True,True,/agents/contact/9612914/,/agents/contact/9612914/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
4,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/9612908/1326047343/image-0-480x320.jpg,https://media.onthemarket.com/properties/9612908/1326047343/image-0-480x320.webp,1,Coming Soon to Greenwich is this fantastic 1 bedroom apartment with a private terrace! Situated within easy reach of Blackheath Village and Greenwich Park. Viewings by appointment only.,['New build'],1 bedroom flat for sale,9612908,/details/9612908/,https://media.onthemarket.com/properties/9612908/1326047343/image-0-480x320.jpg,"£440,000",True,True,/agents/contact/9612908/,/agents/contact/9612908/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
5,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/9612861/1326046765/image-0-480x320.jpg,https://media.onthemarket.com/properties/9612861/1326046765/image-0-480x320.webp,1,"Exclusive to keyworkers living in the Royal Borough of Greenwich is this 2 bedroom apartment offered at 25% below market value with the added benefit of Help to Buy and Stamp duty holiday. Show Apartment available to view by appointment, [use Contact Agent Button] for more information.",['New build'],2 bedroom flat for sale,9612861,/details/9612861/,https://media.onthemarket.com/properties/9612861/1326046765/image-0-480x320.jpg,"£468,000",True,True,/agents/contact/9612861/,/agents/contact/9612861/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
5,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/9612823/1326046065/image-0-480x320.jpg,https://media.onthemarket.com/properties/9612823/1326046065/image-0-480x320.webp,1,"Exclusive to keyworkers living in the Royal Borough of Greenwich is this 1 bedroom apartment offered at 25% below market value with the added benefit of Help to Buy and Stamp duty holiday. Show Apartment available to view by appointment, [use Contact Agent Button] for more information.",['New build'],1 bedroom flat for sale,9612823,/details/9612823/,https://media.onthemarket.com/properties/9612823/1326046065/image-0-480x320.jpg,"£348,000",True,True,/agents/contact/9612823/,/agents/contact/9612823/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
9,Shared ownership,True,"Plot C3.05, 2 Bedroom Apartment at Greenwich Square, Hawthorne Crescent, Greenwich SE10",https://media.onthemarket.com/properties/9604809/1336779435/image-0-480x320.jpg,https://media.onthemarket.com/properties/9604809/1336779435/image-0-480x320.webp,1,"Receive up to £1500 towards moving costs if you reserve by 28th Feb - 2 bedroom apartment available at Hawthorne Crescent for £151,250!","['Online viewing', 'New build']",2 bedroom apartment for sale,9604809,/details/9604809/,https://media.onthemarket.com/properties/9604809/1336779435/image-0-480x320.jpg,"£151,250",True,True,/agents/contact/9604809/,/agents/contact/9604809/?form-name=details-contact,/new-homes/developers/development/greenwich-square-55065/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55065,L&Q - Greenwich Square,020 8128 4489
9,Shared ownership,True,"Plot C3.03, 1 Bedroom Apartment at Greenwich Square, Hawthorne Crescent, Greenwich SE10",https://media.onthemarket.com/properties/9604732/1336775949/image-0-480x320.jpg,https://media.onthemarket.com/properties/9604732/1336775949/image-0-480x320.webp,1,"Receive up to £1500 towards moving costs if you reserve by 28th Feb - ﻿1 bedroom apartment available at Hawthorne Crescent for £105,000!","['Online viewing', 'New build']",1 bedroom apartment for sale,9604732,/details/9604732/,https://media.onthemarket.com/properties/9604732/1336775949/image-0-480x320.jpg,"£105,000",True,True,/agents/contact/9604732/,/agents/contact/9604732/?form-name=details-contact,/new-homes/developers/development/greenwich-square-55065/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55065,L&Q - Greenwich Square,020 8128 4489
9,Shared ownership,True,"Plot H3.01, 1 Bedroom Apartment at Greenwich Square, Hawthorne Crescent, Greenwich SE10",https://media.onthemarket.com/properties/9604714/1336776064/image-0-480x320.jpg,https://media.onthemarket.com/properties/9604714/1336776064/image-0-480x320.webp,1,"Receive up to £1500 towards moving costs if you reserve by 28th Feb1 bedroom apartment available at Hawthorne Crescent for £97,500!Hawthorne Crescent - Apartment H3.011 bedroom 3rd floor apartment offering 48 sq.m of internal floor area with outdoor space. Contact a member of our sales team now...","['Online viewing', 'New build']",1 bedroom apartment for sale,9604714,/details/9604714/,https://media.onthemarket.com/properties/9604714/1336776064/image-0-480x320.jpg,"£97,500",True,True,/agents/contact/9604714/,/agents/contact/9604714/?form-name=details-contact,/new-homes/developers/development/greenwich-square-55065/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55065,L&Q - Greenwich Square,020 8128 4489
