id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9083768,9,Shared ownership,True,"Plot C1.01, 2 Bedroom Apartment at Greenwich Square, Hawthorne Crescent, Greenwich SE10",https://media.onthemarket.com/properties/9083768/1336779356/image-0-480x320.jpg,https://media.onthemarket.com/properties/9083768/1336779356/image-0-480x320.webp,1,"Receive up to £1500 towards moving costs if you reserve by 28th Feb -﻿2 bedroom apartment available at Hawthorne Crescent for £133,750!","['Online viewing', 'New build']",2 bedroom apartment for sale,/details/9083768/,https://media.onthemarket.com/properties/9083768/1336779356/image-0-480x320.jpg,"£133,750",True,True,/agents/contact/9083768/,/agents/contact/9083768/?form-name=details-contact,/new-homes/developers/development/greenwich-square-55065/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55065,L&Q - Greenwich Square,020 8128 4489
9083803,9,Shared ownership,True,"Plot C1.02, 3 Bedroom Apartment at Greenwich Square, Hawthorne Crescent, Greenwich SE10",https://media.onthemarket.com/properties/9083803/1336779832/image-0-480x320.jpg,https://media.onthemarket.com/properties/9083803/1336779832/image-0-480x320.webp,,"Receive up to £1500 towards moving costs if you reserve by 28th Feb - 3 bedroom apartment available at Hawthorne Crescent from £166,250","['Online viewing', 'New build']",3 bedroom apartment for sale,/details/9083803/,https://media.onthemarket.com/properties/9083803/1336779832/image-0-480x320.jpg,"£166,250",,True,/agents/contact/9083803/,/agents/contact/9083803/?form-name=details-contact,/new-homes/developers/development/greenwich-square-55065/,True,https://media.onthemarket.com/agents/companies/10636/200811101258055/logo-100x65.jpg,55065,L&Q - Greenwich Square,020 8128 4489
8852229,6,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/8852229/1335092943/image-0-480x320.jpg,https://media.onthemarket.com/properties/8852229/1335092943/image-0-480x320.webp,,Coming Soon to Greenwich is Teulon House! A collection of spacious 3 bedroom apartments. These high specification homes all offer good sized private balcony’s or terrace’s and within easy reach of Blackheath Village and Greenwich Park.,['New build'],3 bedroom flat for sale,/details/8852229/,https://media.onthemarket.com/properties/8852229/1335092943/image-0-480x320.jpg,"£650,000",,True,/agents/contact/8852229/,/agents/contact/8852229/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
8852207,6,,True,Blackheath Road London SE10,https://media.onthemarket.com/properties/8852207/1335092967/image-0-480x320.jpg,https://media.onthemarket.com/properties/8852207/1335092967/image-0-480x320.webp,,Coming Soon to Greenwich is Teulon House! A collection of spacious 2 bedroom apartments. These high specification homes all offer good sized private balcony’s or terrace’s and within easy reach of Blackheath Village and Greenwich Park.,['New build'],2 bedroom flat for sale,/details/8852207/,https://media.onthemarket.com/properties/8852207/1335092967/image-0-480x320.jpg,"£565,000",,True,/agents/contact/8852207/,/agents/contact/8852207/?form-name=details-contact,/agents/branch/acorn-new-homes/,False,https://media.onthemarket.com/agents/companies/1126/150612092139635/logo-100x65.png,27659,Acorn - New Homes,020 8022 7094
8736810,17,Shared ownership,True,"2 Bedroom Apartment at Telegraph Works SO, Telcon Way and Christchurch Way, Greenwich SE10",https://media.onthemarket.com/properties/8736810/1301783737/image-0-480x320.jpg,https://media.onthemarket.com/properties/8736810/1301783737/image-0-480x320.webp,1,"Telegraph Works – 2 bed apartments available through Shared Ownership located in Greenwich, SE10.It is conveniently situated just a few minutes’ walk from the 188 and 422 bus routes, linking to North Greenwich and passing by Cutty Sark, Greenwich and Deptford for rail and DLR connections.",['New build'],2 bedroom apartment for sale,/details/8736810/,https://media.onthemarket.com/properties/8736810/1301783737/image-0-480x320.jpg,"£133,500",True,True,/agents/contact/8736810/,/agents/contact/8736810/?form-name=details-contact,/new-homes/developers/development/peabody-telegraph-works/,True,https://media.onthemarket.com/agents/companies/10420/200617115741678/logo-100x65.png,54626,Peabody - Telegraph Works,020 8128 9587
8736820,17,Shared ownership,True,"3 Bedroom Apartment at Telegraph Works SO, Telcon Way and Christchurch Way, Greenwich SE10",https://media.onthemarket.com/properties/8736820/1301784158/image-1-480x320.jpg,https://media.onthemarket.com/properties/8736820/1301784158/image-1-480x320.webp,1,"Telegraph Works – 3 bed apartments available through Shared Ownership located in Greenwich, SE10.It is conveniently situated just a few minutes’ walk from the 188 and 422 bus routes, linking to North Greenwich and passing by Cutty Sark, Greenwich and Deptford for rail and DLR connections.",['New build'],3 bedroom apartment for sale,/details/8736820/,https://media.onthemarket.com/properties/8736820/1301784158/image-1-480x320.jpg,"£165,000",True,True,/agents/contact/8736820/,/agents/contact/8736820/?form-name=details-contact,/new-homes/developers/development/peabody-telegraph-works/,True,https://media.onthemarket.com/agents/companies/10420/200617115741678/logo-100x65.png,54626,Peabody - Telegraph Works,020 8128 9587
8736796,6,Shared ownership,True,"1 Bedroom Apartment at Telegraph Works SO, Telcon Way and Christchurch Way, Greenwich SE10",https://media.onthemarket.com/properties/8736796/1301783308/image-0-480x320.jpg,https://media.onthemarket.com/properties/8736796/1301783308/image-0-480x320.webp,1,"Telegraph Works – 1 bed apartments available through Shared Ownership located in Greenwich, SE10.﻿It is conveniently situated just a few minutes’ walk from the 188 and 422 bus routes, linking to North Greenwich and passing by Cutty Sark, Greenwich and Deptford for rail and DLR connections.",['New build'],1 bedroom apartment for sale,/details/8736796/,https://media.onthemarket.com/properties/8736796/1301783308/image-0-480x320.jpg,"£110,000",True,True,/agents/contact/8736796/,/agents/contact/8736796/?form-name=details-contact,/new-homes/developers/development/peabody-telegraph-works/,True,https://media.onthemarket.com/agents/companies/10420/200617115741678/logo-100x65.png,54626,Peabody - Telegraph Works,020 8128 9587
8529799,10,,True,"Deptford Broadway, London, SE8",https://media.onthemarket.com/properties/8529799/1317328224/image-0-480x320.jpg,https://media.onthemarket.com/properties/8529799/1317328224/image-0-480x320.webp,1,This stunning three bedroom duplex apartment is offered to the market chain free.,"['Online viewing', 'New build']",3 bedroom flat for sale,/details/8529799/,https://media.onthemarket.com/properties/8529799/1317328224/image-0-480x320.jpg,"£475,000",True,True,/agents/contact/8529799/,/agents/contact/8529799/?form-name=details-contact,/agents/branch/kallars-london/,False,https://media.onthemarket.com/agents/companies/2904/201202132050065/logo-100x65.jpg,28257,Kallars - London,020 8022 6775
8529798,5,,True,"Deptford Broadway, SE8",https://media.onthemarket.com/properties/8529798/1333027144/image-0-480x320.jpg,https://media.onthemarket.com/properties/8529798/1333027144/image-0-480x320.webp,1,This chain free two bedroom flat offers an excellent location in the heart of the popular Deptford.,"['Online viewing', 'New build']",2 bedroom flat for sale,/details/8529798/,https://media.onthemarket.com/properties/8529798/1333027144/image-0-480x320.jpg,"£350,000",True,True,/agents/contact/8529798/,/agents/contact/8529798/?form-name=details-contact,/agents/branch/kallars-london/,False,https://media.onthemarket.com/agents/companies/2904/201202132050065/logo-100x65.jpg,28257,Kallars - London,020 8022 6775
8357442,22,,True,"John Harrison Way, Greenwich, SE10 0SZ",https://media.onthemarket.com/properties/8357442/1332453573/image-0-480x320.jpg,https://media.onthemarket.com/properties/8357442/1332453573/image-0-480x320.webp,,"New to the market this brand large 1 bed apartment in the Platinum Riverside development. The apartment is on the 5th floor & has great River views from the private balcony, open planed kitchen to lounge area, double bedroom with built in wardrobes & access to the balcony, bathroom & shower. Parking",['New build'],1 bedroom apartment for sale,/details/8357442/,https://media.onthemarket.com/properties/8357442/1332453573/image-0-480x320.jpg,"£430,000",,True,/agents/contact/8357442/,/agents/contact/8357442/?form-name=details-contact,/agents/branch/burwood-marsh-surrey-quays/,False,https://media.onthemarket.com/agents/companies/3587/160210113318834/logo-100x65.png,41167,Burwood Marsh - Surrey Quays,020 8022 0723
