images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
42,Guide price,True,"The Tower, Chelsea Creek, Fulham, SW6",https://media.onthemarket.com/properties/8534238/1324656483/image-0-480x320.jpg,https://media.onthemarket.com/properties/8534238/1324656483/image-0-480x320.webp,1,"This luxury two double bedroom, two bathroom apartment with enhanced specification is situated on the second floor within the Chelsea Creek development, setting the standard in London riverside living at its finest. The apartment comprises a good sized open-plan reception with space for dining...","['Online viewing', 'New build']",2 bedroom apartment for sale,8534238,/details/8534238/,https://media.onthemarket.com/properties/8534238/1324656483/image-0-480x320.jpg,"£2,000,000",True,True,/agents/contact/8534238/,/agents/contact/8534238/?form-name=details-contact,/agents/branch/mylondonhome/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome,020 8033 1702
15,Price on application,True,"King's Road Park, King's Road, London, SW6",https://media.onthemarket.com/properties/8455149/1335433267/image-0-480x320.jpg,https://media.onthemarket.com/properties/8455149/1335433267/image-0-480x320.webp,1,"This beautifully designed 1 bedroom apartment is situated within The Beaumont, the latest release at King's Road Park. Benefitting from south west facing views over the podium garden.","['Online viewing', 'New build']",1 bedroom flat for sale,8455149,/details/8455149/,https://media.onthemarket.com/properties/8455149/1335433267/image-0-480x320.jpg,,True,True,/agents/contact/8455149/,/agents/contact/8455149/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
12,Guide price,True,"Columbia Gardens, West Brompton, London, SW6",https://media.onthemarket.com/properties/8423720/1328980481/image-0-480x320.jpg,https://media.onthemarket.com/properties/8423720/1328980481/image-0-480x320.webp,1,"A superb ground floor one bedroom apartment located in Lillie Square which is one of the most impressive new build developments in the area for sale in Lillie Square, SW6",['New build'],1 bedroom flat for sale,8423720,/details/8423720/,https://media.onthemarket.com/properties/8423720/1328980481/image-0-480x320.jpg,"£695,000",True,True,/agents/contact/8423720/,/agents/contact/8423720/?form-name=details-contact,/agents/branch/savills-earls-court/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,38906,Savills - Earls Court,020 8022 5497
11,Guide price,True,"Lillie Square, Seagrave Road, Earls Court, London, SW6",https://media.onthemarket.com/properties/8316334/1334730158/image-0-480x320.jpg,https://media.onthemarket.com/properties/8316334/1334730158/image-0-480x320.webp,1,"Lillie Square East, the new release of London's newest premium residential development located in Earls Court where Kensington, Chelsea and Fulham meet.",['New build'],1 bedroom flat for sale,8316334,/details/8316334/,https://media.onthemarket.com/properties/8316334/1334730158/image-0-480x320.jpg,"£830,000",True,True,/agents/contact/8316334/,/agents/contact/8316334/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
12,,True,"Benham House, Coleridge Gardens, 552 Kings Road, Kings Chelsea, SW10",https://media.onthemarket.com/properties/8309479/1333856398/image-0-480x320.jpg,https://media.onthemarket.com/properties/8309479/1333856398/image-0-480x320.webp,1,"A phenomenal six bedroom penthouse apartment spanning across two floors. Originally two separate flats, now joined to make one, it is a rare, impressive and incredibly spacious apartment which is championed by four wraparound terraces, which can be accessed by each room. This provides an...","['Online viewing', 'New build']",6 bedroom apartment for sale,8309479,/details/8309479/,https://media.onthemarket.com/properties/8309479/1333856398/image-0-480x320.jpg,"£7,500,000",True,True,/agents/contact/8309479/,/agents/contact/8309479/?form-name=details-contact,/agents/branch/russell-simpson-chelsea/,False,https://media.onthemarket.com/agents/companies/853/150611124327981/logo-100x65.jpg,27561,Russell Simpson - Chelsea,020 8022 7159
18,Price on application,True,"King's Road Park, London, SW6",https://media.onthemarket.com/properties/8271121/1333433397/image-0-480x320.jpg,https://media.onthemarket.com/properties/8271121/1333433397/image-0-480x320.webp,1,"*Book a virtual viewing today* Beautifully designed 1 bedroom apartment situated on the raised ground floor of The Wren, with interior design by Johnson Naylor.","['Online viewing', 'New build']",1 bedroom flat for sale,8271121,/details/8271121/,https://media.onthemarket.com/properties/8271121/1333433397/image-0-480x320.jpg,,True,True,/agents/contact/8271121/,/agents/contact/8271121/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
11,,True,"Five Lillie Square, London, SW6",https://media.onthemarket.com/properties/8124232/1282366102/image-0-480x320.jpg,https://media.onthemarket.com/properties/8124232/1282366102/image-0-480x320.webp,1,A superb two-bedroom duplex (with parking) apartment arranged on the ground and lower floors of the second phase of this exciting development that is due to complete in February 2020.PHOTOS ARE CGI's,['New build'],2 bedroom maisonette for sale,8124232,/details/8124232/,https://media.onthemarket.com/properties/8124232/1282366102/image-0-480x320.jpg,"£1,590,000",True,True,/agents/contact/8124232/,/agents/contact/8124232/?form-name=details-contact,/agents/branch/winkworth-south-kensington/,False,https://media.onthemarket.com/agents/branches/22464/150609132622484/logo-100x65.jpg,22464,Winkworth - South Kensington,020 8022 7258
4,Offers in region of,True,"Thurstan Street, London",https://media.onthemarket.com/properties/8175104/1284773983/image-0-480x320.png,https://media.onthemarket.com/properties/8175104/1284773983/image-0-480x320.webp,,"Located on the 2nd floor is this stunning 1 bedroom apartment at Jaeger House with balcony overlooking Dock and landscaped garden. Boasting an internal area 647sqf/60 sqm, balcony 45sqf/4.10 sqm this stylish new 1 bedroom apartment provides an affordable entry to first class London, living at...",['New build'],1 bedroom apartment for sale,8175104,/details/8175104/,https://media.onthemarket.com/properties/8175104/1284773983/image-0-480x320.png,"£819,995",,True,/agents/contact/8175104/,/agents/contact/8175104/?form-name=details-contact,/agents/branch/benjamin-stevens-estate-agents-edgware/,False,https://media.onthemarket.com/agents/companies/4709/190208120825594/logo-100x65.png,43321,Benjamin Stevens Estate Agents - Edgware,020 8115 3765
13,Offers in excess of,True,"Westbourne Apartments, 5 Central Avenue, London, SW6",https://media.onthemarket.com/properties/8099290/1269904111/image-0-480x320.jpg,https://media.onthemarket.com/properties/8099290/1269904111/image-0-480x320.webp,1,"UPSCALE fifth floor apartment benefiting from a private BALCONY with views overlooking beautifully presented landscape podium gardens. Available with EXCLUSIVE onsite resident facilities, Fulham Riverside.",['New build'],2 bedroom flat for sale,8099290,/details/8099290/,https://media.onthemarket.com/properties/8099290/1269904111/image-0-480x320.jpg,"£900,000",True,True,/agents/contact/8099290/,/agents/contact/8099290/?form-name=details-contact,/agents/branch/gordon-and-co-battersea/,False,https://media.onthemarket.com/agents/companies/1602/150611124408254/logo-100x65.jpg,27586,Gordon & Co - Battersea,020 8022 7156
8,,True,"Earls Court, London, SW6",https://media.onthemarket.com/properties/8028325/1241073737/image-0-480x320.png,https://media.onthemarket.com/properties/8028325/1241073737/image-0-480x320.webp,1,"This property is a stunning 2nd floor Manhattan studio,472 sq.ft, with Juliet balcony and separate bedroom, which is currently available in this landmark development.",['New build'],Studio for sale,8028325,/details/8028325/,https://media.onthemarket.com/properties/8028325/1241073737/image-0-480x320.png,"£650,000",True,True,/agents/contact/8028325/,/agents/contact/8028325/?form-name=details-contact,/agents/branch/gordon-and-co-tower-bridge/,False,https://media.onthemarket.com/agents/companies/1602/150611124408254/logo-100x65.jpg,27549,Gordon & Co - Tower Bridge,020 8022 7279
