images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,base-contact-url,contact-url,details-url,development?,display-logo-url,name,telephone
15,,True,"George Street, Marylebone",https://media.onthemarket.com/properties/9844431/1333175347/image-0-480x320.jpg,https://media.onthemarket.com/properties/9844431/1333175347/image-0-480x320.webp,1,"An opportunity to acquire a perfectly positioned 3 bedroom apartment on the third floor (with lift) of a newly refurbished building in the heart of Marylebone.  This apartment is contemporary, spacious and benefits from lots of natural light. (contd...)",['New build'],3 bedroom apartment for sale,38570,/details/9844431/,https://media.onthemarket.com/properties/9844431/1333175347/image-0-480x320.jpg,"£3,700,000",True,True,/agents/contact/9844431/,/agents/contact/9844431/?form-name=details-contact,/agents/branch/manors-baker-street/,False,https://media.onthemarket.com/agents/branches/38570/150609132741472/logo-100x65.jpg,Manors - Baker Street,020 8033 1275
8,Guide price,True,"Park House Apartments, Bath Road, Slough",https://media.onthemarket.com/properties/9838596/1332994329/image-0-480x320.jpg,https://media.onthemarket.com/properties/9838596/1332994329/image-0-480x320.webp,,"A brand new luxury studio apartment in Park House, Slough's finest new development perfectly located within the heart of the town centre. Finished to a high standard, these contemporary new builds are the ideal purchase for investors or first time buyers, with Help to Buy scheme available....","['Online viewing', 'New build']",Studio for sale,49306,/details/9838596/,https://media.onthemarket.com/properties/9838596/1332994329/image-0-480x320.jpg,"£180,000",,True,/agents/contact/9838596/,/agents/contact/9838596/?form-name=details-contact,/agents/branch/jackson-orourke-estate-agents-berkshire/,False,https://media.onthemarket.com/agents/companies/8226/181012152518194/logo-100x65.jpeg,Jackson O'Rourke Estate Agents - Berkshire,01628 246817
3,Guide price,True,"Hanover Square, Mayfair, London W1S",https://media.onthemarket.com/properties/9825260/1332714192/image-0-480x320.jpg,https://media.onthemarket.com/properties/9825260/1332714192/image-0-480x320.webp,,"The Residences of the Mandarin Oriental, is a brand new development designed by internationally renowned Rogers Stirk Harbour + Partners, for Clivedale London.Located on Hanover Square, between Bond Street and Regent Street, the Residences are serviced by a brand new, integrated, Mandarin...",['New build'],1 bedroom apartment for sale,53554,/details/9825260/,https://media.onthemarket.com/properties/9825260/1332714192/image-0-480x320.jpg,"£2,950,000",,True,/agents/contact/9825260/,/agents/contact/9825260/?form-name=details-contact,/agents/branch/david-turner-property-mayfair/,False,https://media.onthemarket.com/agents/branches/53554/200415135824525/logo-100x65.png,David Turner Property - Mayfair,020 3641 9394
19,Guide price,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9802355/1331817246/image-0-480x320.jpg,https://media.onthemarket.com/properties/9802355/1331817246/image-0-480x320.webp,1,"A 3 bedroom penthouse located on the 4th floor, with dual aspect and wrap around terrace, in one of Marylebone's finest & most exciting new developments available for sale.",['New build'],3 bedroom penthouse for sale,47175,/details/9802355/,https://media.onthemarket.com/properties/9802355/1331817246/image-0-480x320.jpg,"£8,799,000",True,True,/agents/contact/9802355/,/agents/contact/9802355/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
17,Guide price,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9802339/1331816721/image-0-480x320.jpg,https://media.onthemarket.com/properties/9802339/1331816721/image-0-480x320.webp,1,"A penthouse corner apartment with dual aspect and balcony, located on the 2nd floor located in one of Marylebone's finest and most exciting new developments available for sale.",['New build'],2 bedroom penthouse for sale,47175,/details/9802339/,https://media.onthemarket.com/properties/9802339/1331816721/image-0-480x320.jpg,"£6,455,000",True,True,/agents/contact/9802339/,/agents/contact/9802339/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
17,Guide price,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9802313/1331815720/image-0-480x320.jpeg,https://media.onthemarket.com/properties/9802313/1331815720/image-0-480x320.webp,1,A west facing 3 bedroom apartment situated on the 1st floor located in one of Marylebone's finest and most exciting new developments available for sale.,['New build'],3 bedroom flat for sale,47175,/details/9802313/,https://media.onthemarket.com/properties/9802313/1331815720/image-0-480x320.jpeg,"£4,450,000",True,True,/agents/contact/9802313/,/agents/contact/9802313/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
13,,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9802290/1331814400/image-0-480x320.jpeg,https://media.onthemarket.com/properties/9802290/1331814400/image-0-480x320.webp,1,One of the last remaining 2 bedroom apartments for sale located in one of Marylebone's finest and most exciting new developments currently available for sale.,['New build'],2 bedroom flat for sale,47175,/details/9802290/,https://media.onthemarket.com/properties/9802290/1331814400/image-0-480x320.jpeg,"£3,205,000",True,True,/agents/contact/9802290/,/agents/contact/9802290/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
13,Guide price,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9802269/1331813787/image-0-480x320.jpeg,https://media.onthemarket.com/properties/9802269/1331813787/image-0-480x320.webp,1,One of the last remaining 2 bedroom apartments for sale located in one of Marylebone's finest and most exciting new developments currently available for sale.,['New build'],2 bedroom flat for sale,47175,/details/9802269/,https://media.onthemarket.com/properties/9802269/1331813787/image-0-480x320.jpeg,"£2,887,000",True,True,/agents/contact/9802269/,/agents/contact/9802269/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
8,Guide price,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9774673/1330700899/image-0-480x320.jpeg,https://media.onthemarket.com/properties/9774673/1330700899/image-0-480x320.webp,1,One of the last remaining 1 to 2 bedroom apartments for sale located in one of Marylebone's finest and most exciting new developments currently available for sale.,['New build'],2 bedroom flat for sale,47175,/details/9774673/,https://media.onthemarket.com/properties/9774673/1330700899/image-0-480x320.jpeg,"£2,693,000",True,True,/agents/contact/9774673/,/agents/contact/9774673/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
14,,True,"Marylebone Square, Marylebone, London W1U",https://media.onthemarket.com/properties/9760072/1330281021/image-0-480x320.jpeg,https://media.onthemarket.com/properties/9760072/1330281021/image-0-480x320.webp,1,"A 3 bedroom penthouse located on the 5th floor, with east facing aspect, in one of Marylebone's finest & most exciting new developments currently available for sale.",['New build'],3 bedroom penthouse for sale,47175,/details/9760072/,https://media.onthemarket.com/properties/9760072/1330281021/image-0-480x320.jpeg,"£8,070,000",True,True,/agents/contact/9760072/,/agents/contact/9760072/?form-name=details-contact,/agents/branch/jaffray-estates-marylebone/,False,https://media.onthemarket.com/agents/companies/6929/180621142754925/logo-100x65.png,Jaffray Estates - Marylebone,020 8128 9443
