images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
14,,True,"Paddington Exchange, Paddington, W2",https://media.onthemarket.com/properties/5867399/1335553973/image-0-480x320.jpg,https://media.onthemarket.com/properties/5867399/1335553973/image-0-480x320.webp,1,"Presenting a fantastic opportunity to acquire this luxurious 2 bedroom 2 bathroom apartment set in the brand new build development at Paddington Exchange. Situated on the Fourth floor, this apartment offers 912 sq ft of living space featuring an open-plan reception and living area, a  fully...",['New build'],2 bedroom flat for sale,5867399,/details/5867399/,https://media.onthemarket.com/properties/5867399/1335553973/image-0-480x320.jpg,"£1,300,000",True,True,/agents/contact/5867399/,/agents/contact/5867399/?form-name=details-contact,/agents/branch/fraser-and-co-paddington/,False,https://media.onthemarket.com/agents/companies/8246/181023104736610/logo-100x65.jpg,49334,Fraser & Co - Paddington,020 8033 5238
7,,True,"Edgware Road , London W2",https://media.onthemarket.com/properties/8349469/1289465036/image-0-480x320.jpg,https://media.onthemarket.com/properties/8349469/1289465036/image-0-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],3 bedroom apartment for sale,8349469,/details/8349469/,https://media.onthemarket.com/properties/8349469/1289465036/image-0-480x320.jpg,"£2,660,000",,True,/agents/contact/8349469/,/agents/contact/8349469/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,,True,"Edgware Road, London W2",https://media.onthemarket.com/properties/8349467/1289464864/image-1-480x320.jpg,https://media.onthemarket.com/properties/8349467/1289464864/image-1-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],3 bedroom flat for sale,8349467,/details/8349467/,https://media.onthemarket.com/properties/8349467/1289464864/image-1-480x320.jpg,"£2,315,000",,True,/agents/contact/8349467/,/agents/contact/8349467/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,,True,"Edgware Road, London W2",https://media.onthemarket.com/properties/8349458/1289464793/image-0-480x320.jpg,https://media.onthemarket.com/properties/8349458/1289464793/image-0-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],2 bedroom flat for sale,8349458,/details/8349458/,https://media.onthemarket.com/properties/8349458/1289464793/image-0-480x320.jpg,"£1,550,000",,True,/agents/contact/8349458/,/agents/contact/8349458/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,,True,"Edgware Road, London W2",https://media.onthemarket.com/properties/8349453/1289464647/image-0-480x320.jpg,https://media.onthemarket.com/properties/8349453/1289464647/image-0-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],2 bedroom flat for sale,8349453,/details/8349453/,https://media.onthemarket.com/properties/8349453/1289464647/image-0-480x320.jpg,"£1,325,000",,True,/agents/contact/8349453/,/agents/contact/8349453/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,,True,"Edgware Road, London W2",https://media.onthemarket.com/properties/8344024/1289354110/image-1-480x320.jpg,https://media.onthemarket.com/properties/8344024/1289354110/image-1-480x320.webp,,Pending description,['New build'],2 bedroom flat for sale,8344024,/details/8344024/,https://media.onthemarket.com/properties/8344024/1289354110/image-1-480x320.jpg,"£1,185,000",,True,/agents/contact/8344024/,/agents/contact/8344024/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,,True,"Edgware Road, London W2",https://media.onthemarket.com/properties/8344007/1289353734/image-0-480x320.jpg,https://media.onthemarket.com/properties/8344007/1289353734/image-0-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],1 bedroom flat for sale,8344007,/details/8344007/,https://media.onthemarket.com/properties/8344007/1289353734/image-0-480x320.jpg,"£980,000",,True,/agents/contact/8344007/,/agents/contact/8344007/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,,True,Edgware Road W2,https://media.onthemarket.com/properties/8343984/1289353253/image-0-480x320.jpg,https://media.onthemarket.com/properties/8343984/1289353253/image-0-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],1 bedroom flat for sale,8343984,/details/8343984/,https://media.onthemarket.com/properties/8343984/1289353253/image-0-480x320.jpg,"£705,000",,True,/agents/contact/8343984/,/agents/contact/8343984/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
7,Price on application,True,"Edgware Road, London W2",https://media.onthemarket.com/properties/8343965/1289352947/image-0-480x320.jpg,https://media.onthemarket.com/properties/8343965/1289352947/image-0-480x320.webp,,"With a sweeping vantage point over the peaceful landscaped gardens, Asquith House is connected to a place of classical tranquillity and beauty.Soaring 18 storeys, this elegant collection of apartments will benefit from far-reaching views towards the City, Regent's Park and Hyde Park.West End Gate...",['New build'],1 bedroom flat for sale,8343965,/details/8343965/,https://media.onthemarket.com/properties/8343965/1289352947/image-0-480x320.jpg,,,True,/agents/contact/8343965/,/agents/contact/8343965/?form-name=details-contact,/agents/branch/winston-crowns-mayfair/,False,https://media.onthemarket.com/agents/branches/53589/200211164448719/logo-100x65.jpg,53589,Winston Crowns - Mayfair,020 8128 2447
10,Guide price,True,"West End Gate, Edgware Road, London",https://media.onthemarket.com/properties/8175103/1284773981/image-0-480x320.jpg,https://media.onthemarket.com/properties/8175103/1284773981/image-0-480x320.webp,,"Benjamin Stevens are proud to offer to the market this fine example of Luxurious London living offering a contemporary development taking luxury to new heights. Benefiting from a Manhattan Apartment design the property boasts a large reception, well balanced open plan fully fitted modern kitchen,...",['New build'],1 bedroom apartment for sale,8175103,/details/8175103/,https://media.onthemarket.com/properties/8175103/1284773981/image-0-480x320.jpg,"£750,000",,True,/agents/contact/8175103/,/agents/contact/8175103/?form-name=details-contact,/agents/branch/benjamin-stevens-estate-agents-edgware/,False,https://media.onthemarket.com/agents/companies/4709/190208120825594/logo-100x65.png,43321,Benjamin Stevens Estate Agents - Edgware,020 8115 3765
12,,True,"Paddington Gardens, North Wharf Road, London",https://media.onthemarket.com/properties/8159936/1329735858/image-0-480x320.jpg,https://media.onthemarket.com/properties/8159936/1329735858/image-0-480x320.webp,,"Offering a selection of 1, 2, 3 and 4 bedroom apartments and penthouses, with completions from the end of 2018, Paddington Gardens is the newest destination for W2 enhancing this vibrant part of London.",['New build'],1 bedroom flat for sale,8159936,/details/8159936/,https://media.onthemarket.com/properties/8159936/1329735858/image-0-480x320.jpg,"£919,000",,True,/agents/contact/8159936/,/agents/contact/8159936/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,37823,"Strutt & Parker - London, New Homes",020 8022 6240
