images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,id,property-link,cover-image,price,floorplans?,for-sale?,base-contact-url,contact-url,details-url,development?,display-logo-url,name,telephone
11,,True,"Chancery Quarters, 124 Chancery Lane, London, WC2A",https://media.onthemarket.com/properties/8001816/1230827068/image-0-480x320.jpg,https://media.onthemarket.com/properties/8001816/1230827068/image-0-480x320.webp,,"A boutique residential development in London’s Midtown  Superbly positioned in the heart of Midtown, Chancery Quarters sits on world-famous Chancery Lane within a short stroll of Lincoln's Inn Fields, Covent Garden and The City of London  Set within a handsome 5-storey period building, this...",['New build'],3 bedroom flat for sale,37788,/details/8001816/,https://media.onthemarket.com/properties/8001816/1230827068/image-0-480x320.jpg,"£2,525,000",,True,/agents/contact/8001816/,/agents/contact/8001816/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
11,,True,"Chancery Quarters, 124 Chancery Lane, London, WC2A",https://media.onthemarket.com/properties/8001815/1230826909/image-0-480x320.jpg,https://media.onthemarket.com/properties/8001815/1230826909/image-0-480x320.webp,1,"Beautiful 2 bedroom penthouse available now

Set in the heart of Midtown, close to Covent Garden and Holborn, this brand new, ready for occupation two bedroom penthouse apartment has an expansive  roof terrace with panoramic views of the London skyline

Superbly positioned in the heart of Midto...",['New build'],2 bedroom flat for sale,37788,/details/8001815/,https://media.onthemarket.com/properties/8001815/1230826909/image-0-480x320.jpg,"£3,350,000",True,True,/agents/contact/8001815/,/agents/contact/8001815/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
13,,True,"John Adam Street, London, WC2N",https://media.onthemarket.com/properties/7981542/1335944826/image-0-480x320.jpg,https://media.onthemarket.com/properties/7981542/1335944826/image-0-480x320.webp,1,"A three bedrooom apartment for sale in the Adelphi district, WC2N  An exceptionally designed three bedroom apartment, situated within the Adelphi district, featuring stylish and bespoke furnishings throughout as well as spacious accommodation. EPC: C.  Situated within a boutique development in...",['New build'],3 bedroom flat for sale,4832,/details/7981542/,https://media.onthemarket.com/properties/7981542/1335944826/image-0-480x320.jpg,"£3,150,000",True,True,/agents/contact/7981542/,/agents/contact/7981542/?form-name=details-contact,/agents/branch/knight-frank-mayfair/,False,https://media.onthemarket.com/agents/branches/4832/150609132904115/logo-100x65.jpg,Knight Frank - Mayfair,020 8022 7334
14,,True,"Centre Point Residences, 103 New Oxford Street, London, WC1A",https://media.onthemarket.com/properties/7876119/1334274769/image-0-480x320.jpg,https://media.onthemarket.com/properties/7876119/1334274769/image-0-480x320.webp,1,3 bedroom apartment with uncompromised views over the city.  A beautifully crafted three bedroom apartment within this much sought after recently completed new development part of 'The Vantage Collection'. It is situated on the 18th floor with breath-taking views over London.  Centre Point stands...,"['Online viewing', 'New build']",3 bedroom flat for sale,42119,/details/7876119/,https://media.onthemarket.com/properties/7876119/1334274769/image-0-480x320.jpg,"£7,225,000",True,True,/agents/contact/7876119/,/agents/contact/7876119/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-broker-team/,False,https://media.onthemarket.com/agents/companies/5/180618174152145/logo-100x65.jpg,"Knight Frank - London, Residential Development Broker Team",020 3641 9494
9,,True,"W.207 Lincoln Square, Lincoln Square, 18 Portugal Street, Covent Garden/ Holborn, London, WC2A",https://media.onthemarket.com/properties/7777366/1172830049/image-0-480x320.jpg,https://media.onthemarket.com/properties/7777366/1172830049/image-0-480x320.webp,1,"Stunning 2 bedroom apartment available now

Lincoln Square is a unique, high-quality development in the cultural, legal and academic heart of London.

The development features architecture by PLP Architecture, landscape by Gustafson Porter, interior design of the public and amenity areas by th...",['New build'],2 bedroom flat for sale,37788,/details/7777366/,https://media.onthemarket.com/properties/7777366/1172830049/image-0-480x320.jpg,"£2,300,000",True,True,/agents/contact/7777366/,/agents/contact/7777366/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
10,,True,"Strand, London, WC2R",https://media.onthemarket.com/properties/4082449/1220229117/image-0-480x320.jpg,https://media.onthemarket.com/properties/4082449/1220229117/image-0-480x320.webp,1,"3 bedroom apartment for sale in 190 Strand

A beautifully appointed 3 bedroom apartment of 1,582 sq. ft. in Clement House, located on the world famous Strand offering outstanding lifestyle in the heart of London

190 Strand is a luxurious new development of bespoke suites, apartments and penth...",['New build'],3 bedroom flat for sale,4832,/details/4082449/,https://media.onthemarket.com/properties/4082449/1220229117/image-0-480x320.jpg,"£3,600,000",True,True,/agents/contact/4082449/,/agents/contact/4082449/?form-name=details-contact,/agents/branch/knight-frank-mayfair/,False,https://media.onthemarket.com/agents/branches/4832/150609132904115/logo-100x65.jpg,Knight Frank - Mayfair,020 8022 7334
9,,True,"Strand, London, WC2R",https://media.onthemarket.com/properties/7316173/1335944181/image-0-480x320.jpg,https://media.onthemarket.com/properties/7316173/1335944181/image-0-480x320.webp,1,"A spacious 4 bedroom apartment for sale

Located on the fourth and fifth floors of Wren House, on the world famous Strand, this impressive duplex apartment offers stylish and contemporary living throughout. EPC: B

Extending to approximately 2,013 sq ft, the apartment comprises an open plan...",['New build'],4 bedroom flat for sale,4832,/details/7316173/,https://media.onthemarket.com/properties/7316173/1335944181/image-0-480x320.jpg,"£4,350,000",True,True,/agents/contact/7316173/,/agents/contact/7316173/?form-name=details-contact,/agents/branch/knight-frank-mayfair/,False,https://media.onthemarket.com/agents/branches/4832/150609132904115/logo-100x65.jpg,Knight Frank - Mayfair,020 8022 7334
11,From,True,"Hexagon Apartments, Parker Street, London",https://media.onthemarket.com/properties/6979513/1333854978/image-0-480x320.jpg,https://media.onthemarket.com/properties/6979513/1333854978/image-0-480x320.webp,,"An iconic building rising far above the neighbouring rooftops, designed by world-renowned architects Squire & Partners, with interior specification by leading designers Michaelis Boyd.",['New build'],1 bedroom flat for sale,37823,/details/6979513/,https://media.onthemarket.com/properties/6979513/1333854978/image-0-480x320.jpg,"£1,089,000",,True,/agents/contact/6979513/,/agents/contact/6979513/?form-name=details-contact,/agents/branch/strutt-and-parker-london-new-homes/,False,https://media.onthemarket.com/agents/companies/3/190102100007865/logo-100x65.jpg,"Strutt & Parker - London, New Homes",020 8022 6240
8,,True,"The Tavistock, Covent Garden, WC2E",https://media.onthemarket.com/properties/6615019/1324466862/image-0-480x320.jpg,https://media.onthemarket.com/properties/6615019/1324466862/image-0-480x320.webp,1,"A three bedroom lateral apartment for sale in Covent Garden WC2 A luxury boutique apartment with a classic contemporary design in the heart of Covent Garden. The Tavistock is in a sought after central London location, moments from the Piazza, Royal Opera House and the opulence and bright lights...",['New build'],3 bedroom apartment for sale,37797,/details/6615019/,https://media.onthemarket.com/properties/6615019/1324466862/image-0-480x320.jpg,"£3,250,000",True,True,/agents/contact/6615019/,/agents/contact/6615019/?form-name=details-contact,/agents/branch/cbre-residential-london-west-end/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,"CBRE Residential - London, West End",020 8022 6424
10,,True,"Kingsway, Holborn, WC2B",https://media.onthemarket.com/properties/5434979/1324466863/image-0-480x320.jpg,https://media.onthemarket.com/properties/5434979/1324466863/image-0-480x320.webp,1,"A luxurious one-bedroom apartment to rent with lift access and concierge service in WC2 This elegant one bedroom apartment to rent is set on the fifth floor of the beautifully converted period building, Princes House.The apartment has been carefully designed with a sophisticated collection of...",['New build'],1 bedroom apartment for sale,37797,/details/5434979/,https://media.onthemarket.com/properties/5434979/1324466863/image-0-480x320.jpg,"£950,000",True,True,/agents/contact/5434979/,/agents/contact/5434979/?form-name=details-contact,/agents/branch/cbre-residential-london-west-end/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,"CBRE Residential - London, West End",020 8022 6424
8,,True,"Strand, London, WC2R",https://media.onthemarket.com/properties/5562096/1325050443/image-0-480x320.jpg,https://media.onthemarket.com/properties/5562096/1325050443/image-0-480x320.webp,1,"A fabulous one bedroom apartment with a private parking space in the latest phase of 190 Strand. The apartment in Milford House will have very high quality fixtures, fittings and finishes and will be surrounded by landscaped gardens. This spacious and cleverly designed apartment has floor to...",['New build'],1 bedroom flat for sale,917,/details/5562096/,https://media.onthemarket.com/properties/5562096/1325050443/image-0-480x320.jpg,"£1,750,000",True,True,/agents/contact/5562096/,/agents/contact/5562096/?form-name=details-contact,/agents/branch/stirling-ackroyd-west-end/,False,https://media.onthemarket.com/agents/companies/925/180913112912446/logo-100x65.png,Stirling Ackroyd - West End,020 8033 7440
19,,True,"Strand, London, WC2R",https://media.onthemarket.com/properties/5562099/1324608138/image-0-480x320.jpg,https://media.onthemarket.com/properties/5562099/1324608138/image-0-480x320.webp,1,"A fabulous two bedroom apartment in the new 190 Strand development. The apartment in Wren House contains very high quality fixtures, fittings and finishes and is surrounded by landscaped gardens.This spacious and cleverly designed apartment has floor to ceiling windows and opens out to a private...",['New build'],2 bedroom flat for sale,917,/details/5562099/,https://media.onthemarket.com/properties/5562099/1324608138/image-0-480x320.jpg,"£3,200,000",True,True,/agents/contact/5562099/,/agents/contact/5562099/?form-name=details-contact,/agents/branch/stirling-ackroyd-west-end/,False,https://media.onthemarket.com/agents/companies/925/180913112912446/logo-100x65.png,Stirling Ackroyd - West End,020 8033 7440
8,,True,"Strand, Mayfair, WC2R",https://media.onthemarket.com/properties/5382692/1332134300/image-0-480x320.jpg,https://media.onthemarket.com/properties/5382692/1332134300/image-0-480x320.webp,1,"An iconic development located on the Strand with the richest aspects of London living including Residents Pool, Gym and Cinema.",['New build'],1 bedroom apartment for sale,5013,/details/5382692/,https://media.onthemarket.com/properties/5382692/1332134300/image-0-480x320.jpg,"£1,580,000",True,True,/agents/contact/5382692/,/agents/contact/5382692/?form-name=details-contact,/agents/branch/carter-jonas-mayfair-and-st-jamess/,False,https://media.onthemarket.com/agents/companies/198/150612091637430/logo-100x65.jpg,Carter Jonas - Mayfair & St James's,020 8022 7331
