id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9463107,10,,True,"The Atlas Building, City Road, EC1",https://media.onthemarket.com/properties/9463107/1322079135/image-0-480x320.jpg,https://media.onthemarket.com/properties/9463107/1322079135/image-0-480x320.webp,,"A two-bedroom apartment in The Atlas Building with a luxurious layout perfect for entertaining and offering  1,126 sq ft of internal living space.   Confident and contemporary, The Atlas Building is an inspired reflection of its surroundings. Standing on the axis of Shoreditch, Islington,...",['New build'],2 bedroom apartment for sale,/details/9463107/,https://media.onthemarket.com/properties/9463107/1322079135/image-0-480x320.jpg,"£1,977,000",,True,/agents/contact/9463107/,/agents/contact/9463107/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22218,"JLL - London, New Homes",020 8022 7133
7258064,23,,True,"The Atlas Building, City Road, EC1",https://media.onthemarket.com/properties/7258064/1321950280/image-0-480x320.jpg,https://media.onthemarket.com/properties/7258064/1321950280/image-0-480x320.webp,1,This fantastic three bedroom apartment benefits from two private balconies overlooking the City. The luxurious layout allows for generous living space while floor to ceiling windows throughout offer amazing views and light.,['New build'],3 bedroom apartment for sale,/details/7258064/,https://media.onthemarket.com/properties/7258064/1321950280/image-0-480x320.jpg,"£2,399,000",True,True,/agents/contact/7258064/,/agents/contact/7258064/?form-name=details-contact,/agents/branch/jll-london-new-homes/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22218,"JLL - London, New Homes",020 8022 7133
9427557,10,,True,"3 Signature Place, Postmark, London, EC1A",https://media.onthemarket.com/properties/9427557/1335358823/image-0-480x320.jpg,https://media.onthemarket.com/properties/9427557/1335358823/image-0-480x320.webp,,"Modern 2 bedroom apartment with private terrace, EC1  This modern two bedroom apartment is located on the ground floor, measures 914 square foot and benefits from a private terrace and an East aspect.  Postmark is set in two striking buildings around a richly planted courtyard, Signature Place...",['New build'],2 bedroom flat for sale,/details/9427557/,https://media.onthemarket.com/properties/9427557/1335358823/image-0-480x320.jpg,"£1,330,000",,True,/agents/contact/9427557/,/agents/contact/9427557/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,37782,"Knight Frank - City & East, Residential Development",020 8022 6382
9366237,42,Price on application,True,"The Atlas Building, 145 City Road, Clerkenwell, EC1V",https://media.onthemarket.com/properties/9366237/1338051955/image-0-480x320.jpg,https://media.onthemarket.com/properties/9366237/1338051955/image-0-480x320.webp,1,"3D VIRTUAL TOUR | Spectacular Triple Aspect Views | High Ceilings | 36th Floor | Offers invited | Constellation Specification | 1604 Sq Ft | Two Terraces | Balcony | Parking Included | Residents only gymnasium, swimming pool and screening room | 24hr concierge | South West facing | 8 Minutes’...","['Online viewing', 'New build']",3 bedroom apartment for sale,/details/9366237/,https://media.onthemarket.com/properties/9366237/1338051955/image-0-480x320.jpg,,True,True,/agents/contact/9366237/,/agents/contact/9366237/?form-name=details-contact,/agents/branch/mylondonhome-westminster/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome - Westminster,020 8033 1702
8289136,11,Guide price,True,"Postmark, Mount Pleasant, London, WC1X",https://media.onthemarket.com/properties/8289136/1332905502/image-0-480x320.jpg,https://media.onthemarket.com/properties/8289136/1332905502/image-0-480x320.webp,1,Beautiful open plan one bedroom apartment with a private terrace. Well designed opened spaces for modern living.,['New build'],1 bedroom flat for sale,/details/8289136/,https://media.onthemarket.com/properties/8289136/1332905502/image-0-480x320.jpg,"£955,000",True,True,/agents/contact/8289136/,/agents/contact/8289136/?form-name=details-contact,/agents/branch/savills-london-margaret-street-new-homes/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,37767,"Savills - London, Margaret Street, New Homes",020 8022 6246
9265909,11,,True,"Golden Lan, Barbican, London, EC1Y",https://media.onthemarket.com/properties/9265909/1325948121/image-0-480x320.jpg,https://media.onthemarket.com/properties/9265909/1325948121/image-0-480x320.webp,3,One of the few Duplex left in this stunning new development in Barbican. 3 Bed - 3 bathrooms,['New build'],3 bedroom apartment for sale,/details/9265909/,https://media.onthemarket.com/properties/9265909/1325948121/image-0-480x320.jpg,"£1,765,000",True,True,/agents/contact/9265909/,/agents/contact/9265909/?form-name=details-contact,/agents/branch/keller-williams-london-bridge/,False,https://media.onthemarket.com/agents/companies/2213/210209130552826/logo-100x65.png,55219,Keller Williams - London Bridge,020 3641 0362
9270856,11,,True,"GOLDEN LANE, LONDON. EC1Y",https://media.onthemarket.com/properties/9270856/1338304902/image-0-480x320.png,https://media.onthemarket.com/properties/9270856/1338304902/image-0-480x320.webp,1,A SPACIOUS 3-BEDROOM APARTMENT LOCATED ACROSS THE 4TH AND 5TH FLOORS OF A BRAND NEW DEVELOPMENT IN THE CITY OF LONDON. *GUARANTEED 5% RENTAL RETURN FOR 2 YEARS*,['New build'],3 bedroom apartment for sale,/details/9270856/,https://media.onthemarket.com/properties/9270856/1338304902/image-0-480x320.png,"£1,782,000",True,True,/agents/contact/9270856/,/agents/contact/9270856/?form-name=details-contact,/agents/branch/bm-properties-london/,False,https://media.onthemarket.com/agents/companies/10610/201012094121465/logo-100x65.jpg,55006,BM Properties - London,020 3641 2041
8466705,11,,True,"26 Signature Place, Postmark, London, EC1A",https://media.onthemarket.com/properties/8466705/1335357362/image-0-480x320.jpg,https://media.onthemarket.com/properties/8466705/1335357362/image-0-480x320.webp,,"Large 3 bedroom apartment with 2 private balconies in a zone 1 location available at Postmark's Signature Place, E1  Having recently launched at Postmark, Signature Place offers a range of luxury  1,2 and 3 bedroom apartments.  This large and bright three bedroom apartment which is located on the...",['New build'],3 bedroom flat for sale,/details/8466705/,https://media.onthemarket.com/properties/8466705/1335357362/image-0-480x320.jpg,"£1,740,000",,True,/agents/contact/8466705/,/agents/contact/8466705/?form-name=details-contact,/agents/branch/knight-frank-city-and-east-residential-development/,False,https://media.onthemarket.com/agents/branches/37782/150609132133033/logo-100x65.jpg,37782,"Knight Frank - City & East, Residential Development",020 8022 6382
9199623,6,,True,"Golden Lane, London. EC1Y 0TJ",https://media.onthemarket.com/properties/9199623/1339325692/image-0-480x320.jpg,https://media.onthemarket.com/properties/9199623/1339325692/image-0-480x320.webp,1,SUPERBLY DESIGNED 1-BEDROOM APARTMENT IN CITY OF LONDON. *GUARANTEED 5% RENTAL RETURN FOR 2 YEARS*,['New build'],1 bedroom apartment for sale,/details/9199623/,https://media.onthemarket.com/properties/9199623/1339325692/image-0-480x320.jpg,"£749,000",True,True,/agents/contact/9199623/,/agents/contact/9199623/?form-name=details-contact,/agents/branch/bm-properties-london/,False,https://media.onthemarket.com/agents/companies/10610/201012094121465/logo-100x65.jpg,55006,BM Properties - London,020 3641 2041
9182868,12,Price on application,True,City Road London EC1V,https://media.onthemarket.com/properties/9182868/1340333233/image-0-480x320.jpg,https://media.onthemarket.com/properties/9182868/1340333233/image-0-480x320.webp,,"A fantastic 1 bedroom apartment with the potential of being a 2 bedroom, located in Berkeley Homes exciting new development, Carrara Tower, 250 City Road, EC1.  Due to complete this year, the property will comprise of well-appointed living space and be finished to the highest of specifications...",['New build'],1 bedroom apartment for sale,/details/9182868/,https://media.onthemarket.com/properties/9182868/1340333233/image-0-480x320.jpg,,,True,/agents/contact/9182868/,/agents/contact/9182868/?form-name=details-contact,/agents/branch/jll-city/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,22221,JLL - City,020 8022 7226
9167272,13,Guide price,True,"The Denizen, The City, London, EC1Y",https://media.onthemarket.com/properties/9167272/1319963832/image-0-480x320.jpg,https://media.onthemarket.com/properties/9167272/1319963832/image-0-480x320.webp,2,Presented here is a 830 sqft two-bedroom duplex apartment occupying the top two floors (5th and 6th) of the development scheme with north and south facing aspects and a 74 sqft private terrace.Guaranteed two-year rental return at a yield of 5% in partnership with a local letting agency.  This...,['New build'],2 bedroom duplex for sale,/details/9167272/,https://media.onthemarket.com/properties/9167272/1319963832/image-0-480x320.jpg,"£1,399,000",True,True,/agents/contact/9167272/,/agents/contact/9167272/?form-name=details-contact,/agents/branch/barnes-international-south-kensington/,False,https://media.onthemarket.com/agents/branches/52264/200401102510829/logo-100x65.png,52264,BARNES International - South Kensington,020 8022 1848
