id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9613260,15,,True,"Cleveland Gardens, London, N4",https://media.onthemarket.com/properties/9613260/1331470895/image-0-480x320.jpg,https://media.onthemarket.com/properties/9613260/1331470895/image-0-480x320.webp,1,"*AVAILABLE ON THE HELP TO BUY*Exclusive to Paul Simon and fully available for viewing, this luxury ground floor two double bedroom apartment comprises; large open-planned kitchen/reception, two  bedrooms and modern bathroom suite. The property features  a small side garden space. This truly...",['New build'],2 bedroom apartment for sale,/details/9613260/,https://media.onthemarket.com/properties/9613260/1331470895/image-0-480x320.jpg,"£525,000",True,True,/agents/contact/9613260/,/agents/contact/9613260/?form-name=details-contact,/agents/branch/paul-simon-harringay/,False,https://media.onthemarket.com/agents/companies/7434/180724150846159/logo-100x65.jpg,47910,Paul Simon - Harringay,020 8033 9845
9404920,5,Offers over,True,"Hartingtons Court, Woodberry Down, Finsbury Park, London N4",https://media.onthemarket.com/properties/9404920/1319798492/image-0-480x320.jpg,https://media.onthemarket.com/properties/9404920/1319798492/image-0-480x320.webp,,"591sqft | Ground Floor Apartment | Residents Lounge | Private Gym and Pool | Short Walk to Manor House Underground Station | Massive Private Terrace | Own Separate EntranceThis elegant 1 bedroom apartment set within Hartingtons offers a contemporary open plan reception, kitchen & dining area;...",['New build'],1 bedroom apartment for sale,/details/9404920/,https://media.onthemarket.com/properties/9404920/1319798492/image-0-480x320.jpg,"£510,000",,True,/agents/contact/9404920/,/agents/contact/9404920/?form-name=details-contact,/agents/branch/elite-land-london/,False,https://media.onthemarket.com/agents/branches/54994/200727131847708/logo-100x65.jpg,54994,Elite Land - London,020 3641 3625
7888549,4,,True,"One City North, 10 City North Place, N4",https://media.onthemarket.com/properties/7888549/1320479027/image-0-480x320.jpg,https://media.onthemarket.com/properties/7888549/1320479027/image-0-480x320.webp,2,"Large 560 sq ft One Bed | 3rd Floor | North West Aspect | Assignment Sale | 24Hr Concierge | Moments from Finsbury Park Station | Leasehold 999 years | Service Charge: Estimated £1,896 pa | Completion expected November 2020• City North is a mixed-use development and a joint venture between...",['New build'],1 bedroom apartment for sale,/details/7888549/,https://media.onthemarket.com/properties/7888549/1320479027/image-0-480x320.jpg,"£500,000",True,True,/agents/contact/7888549/,/agents/contact/7888549/?form-name=details-contact,/agents/branch/mylondonhome-westminster/,False,https://media.onthemarket.com/agents/branches/26009/190704130428048/logo-100x65.jpg,26009,MyLondonHome - Westminster,020 8033 1702
9340389,1,,True,"Block B, Hartingtons Apartments, Woodberry Down, London N4",https://media.onthemarket.com/properties/9340389/1318212467/image-1-480x320.jpeg,https://media.onthemarket.com/properties/9340389/1318212467/image-1-480x320.webp,1,"We are pleased to present this fantastic opportunity to acquire off-plan resale unit at Hartingtons, Woodberry Down by Berkeley Homes. The development is due to complete in Q2 - 2021 and offers this 8th floor apartment with a mesmerising views of landscaped gardens and West Reservoir. The...",['New build'],2 bedroom apartment for sale,/details/9340389/,https://media.onthemarket.com/properties/9340389/1318212467/image-1-480x320.jpeg,"£830,000",True,True,/agents/contact/9340389/,/agents/contact/9340389/?form-name=details-contact,/agents/branch/monteo-london-london/,False,https://media.onthemarket.com/agents/branches/55237/200911190443182/logo-100x65.jpg,55237,Monteo London - London,020 3641 9908
9308993,7,,True,"Plot 04.08 Hartingtons, Woodberry Down, N4",https://media.onthemarket.com/properties/9308993/1324467768/image-0-480x320.jpg,https://media.onthemarket.com/properties/9308993/1324467768/image-0-480x320.webp,1,"Two Bedroom reassignment for sale in Hartingtons, Woodberry Down N4 Reassignment off -plan Two Bedroom, one-bathroom apartment situated in Block B, The Hartingtons, Woodberry Down. This fourth floor, apartment is 676 sq.ft  (62.8 sq.m)  with external balcony space of 71 sq.ft (6.6 sq.m) which is...",['New build'],2 bedroom apartment for sale,/details/9308993/,https://media.onthemarket.com/properties/9308993/1324467768/image-0-480x320.jpg,"£650,000",True,True,/agents/contact/9308993/,/agents/contact/9308993/?form-name=details-contact,/agents/branch/cbre-london-canary-wharf/,False,https://media.onthemarket.com/agents/companies/2161/160421100530154/logo-100x65.png,37798,"CBRE Residential - London, Canary Wharf",020 8022 6426
9258764,25,,True,"City North, Finsbury Park, N4",https://media.onthemarket.com/properties/9258764/1339186482/image-0-480x320.jpg,https://media.onthemarket.com/properties/9258764/1339186482/image-0-480x320.webp,,Garrison Estates are proud to present undoubtedly the finest two bedroom apartment in the prestigious City North development.  ,"['Online viewing', 'New build']",2 bedroom penthouse for sale,/details/9258764/,https://media.onthemarket.com/properties/9258764/1339186482/image-0-480x320.jpg,"£1,200,000",,True,/agents/contact/9258764/,/agents/contact/9258764/?form-name=details-contact,/agents/branch/garrison-estates-notting-hill/,False,https://media.onthemarket.com/agents/branches/55069/200805130046018/logo-100x65.png,55069,Garrison Estates - Notting Hill,020 3641 0694
8845140,9,,True,Woodberry Down London N4,https://media.onthemarket.com/properties/8845140/1304470112/image-0-480x320.jpg,https://media.onthemarket.com/properties/8845140/1304470112/image-0-480x320.webp,1,"Introducing The Townhouse Collection at Springpark Drive, a collection of just seven impeccable townhouses. With exceptional finishes throughout, these luxurious three to four bedroom townhouses offer multi- storey living at its finest. Featuring stunning roof terraces, The Townhouse Collection...",['New build'],3 bedroom townhouse for sale,/details/8845140/,https://media.onthemarket.com/properties/8845140/1304470112/image-0-480x320.jpg,"£1,200,000",True,True,/agents/contact/8845140/,/agents/contact/8845140/?form-name=details-contact,/agents/branch/jll-finsbury-park/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,37693,JLL - Finsbury Park,020 8022 7023
8844945,9,,True,Springpark Drive Wooderry Down N4,https://media.onthemarket.com/properties/8844945/1304457743/image-0-480x320.jpg,https://media.onthemarket.com/properties/8844945/1304457743/image-0-480x320.webp,1,"Introducing The Townhouse Collection at Springpark Drive, a collection of just seven impeccable townhouses. With exceptional finishes throughout, these luxurious three to four bedroom townhouses offer multi- storey living at its finest. Featuring stunning roof terraces, The Townhouse Collection...",['New build'],3 bedroom townhouse for sale,/details/8844945/,https://media.onthemarket.com/properties/8844945/1304457743/image-0-480x320.jpg,"£1,500,000",True,True,/agents/contact/8844945/,/agents/contact/8844945/?form-name=details-contact,/agents/branch/jll-finsbury-park/,False,https://media.onthemarket.com/agents/companies/547/170331113156299/logo-100x65.png,37693,JLL - Finsbury Park,020 8022 7023
8200668,2,,True,"Woodberry Down , London, N4",https://media.onthemarket.com/properties/8200668/1285468634/image-0-480x320.jpg,https://media.onthemarket.com/properties/8200668/1285468634/image-0-480x320.webp,,"A magnificent 2 bedroom Apartment in a wonderful location, situated in London N4, offering amazing comfortable living and convenience with simplicity.",['New build'],2 bedroom apartment for sale,/details/8200668/,https://media.onthemarket.com/properties/8200668/1285468634/image-0-480x320.jpg,"£735,000",,True,/agents/contact/8200668/,/agents/contact/8200668/?form-name=details-contact,/agents/branch/chain-residential-london/,False,https://media.onthemarket.com/agents/companies/3280/151216144017913/logo-100x65.jpg,40688,Chain Residential - London,020 8022 0739
7909644,3,,True,"Woodberry Down, Manor House , London, N4",https://media.onthemarket.com/properties/7909644/1207709376/image-0-480x320.jpg,https://media.onthemarket.com/properties/7909644/1207709376/image-0-480x320.webp,,"A magnificent 1 bedroom Apartment in a wonderful location, situated in London N4, offering amazing comfortable living and convenience with simplicity.",['New build'],1 bedroom apartment for sale,/details/7909644/,https://media.onthemarket.com/properties/7909644/1207709376/image-0-480x320.jpg,"£588,000",,True,/agents/contact/7909644/,/agents/contact/7909644/?form-name=details-contact,/agents/branch/chain-residential-london/,False,https://media.onthemarket.com/agents/companies/3280/151216144017913/logo-100x65.jpg,40688,Chain Residential - London,020 8022 0739
