id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9679470,11,,True,"Hampstead Reach, NW11",https://media.onthemarket.com/properties/9679470/1327861029/image-0-480x320.jpg,https://media.onthemarket.com/properties/9679470/1327861029/image-0-480x320.webp,1,"A 1st floor 2 bedroom, two bathroom first apartment benefiting from a dual aspect reception room and open-plan kitchen.  Features include LED lighting with coffered ceilings, underfloor heating, comfort cooling, modern appliances including Grohe and Miele and fitted wardrobes throughout.Further...","['Online viewing', 'New build']",2 bedroom apartment for sale,/details/9679470/,https://media.onthemarket.com/properties/9679470/1327861029/image-0-480x320.jpg,"£1,300,000",True,True,/agents/contact/9679470/,/agents/contact/9679470/?form-name=details-contact,/agents/branch/glentree-estates/,False,https://media.onthemarket.com/agents/companies/389/150611110859670/logo-100x65.jpg,3387,Glentree Estates,020 8022 6656
7890295,13,,True,"Finchley Road, London, NW11",https://media.onthemarket.com/properties/7890295/1340186598/image-0-480x320.jpg,https://media.onthemarket.com/properties/7890295/1340186598/image-0-480x320.webp,1,"Flat 11 - AVAILABLE FOR IMMEDIATE OCCUPATIONAn outstanding three bedroom first floor apartment (1590sqft / 148 sqm) with private terrace (50 sqft) and allocated off street parking forming part of a brand new development, Four5Two. (contd...)",['New build'],3 bedroom flat for sale,/details/7890295/,https://media.onthemarket.com/properties/7890295/1340186598/image-0-480x320.jpg,"£1,575,000",True,True,/agents/contact/7890295/,/agents/contact/7890295/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-hampstead/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27557,Goldschmidt & Howland - Hampstead,020 8022 7302
7839832,13,,True,"The Beaumont, NW11",https://media.onthemarket.com/properties/7839832/1190282824/image-0-480x320.jpg,https://media.onthemarket.com/properties/7839832/1190282824/image-0-480x320.webp,1,"A 3 bedroom, 2 bathroom first floor apartment in this luxury development with just a few 3 bedroom apartments remaining. The Beaumont is situated in this prime location within walking distance of Golders Green & its varied shops, restaurants & transport facilities. Each apartment has been...",['New build'],3 bedroom apartment for sale,/details/7839832/,https://media.onthemarket.com/properties/7839832/1190282824/image-0-480x320.jpg,"£1,280,000",True,True,/agents/contact/7839832/,/agents/contact/7839832/?form-name=details-contact,/agents/branch/glentree-estates/,False,https://media.onthemarket.com/agents/companies/389/150611110859670/logo-100x65.jpg,3387,Glentree Estates,020 8022 6656
7708987,11,Guide price,True,"Chandos Way, Wellgarth Road, Golders Green, London, NW11",https://media.onthemarket.com/properties/7708987/1324736245/image-0-480x320.jpg,https://media.onthemarket.com/properties/7708987/1324736245/image-0-480x320.webp,1,"A new development for North London, Hampstead Reach has been designed to reflect the Arts & Crafts style of the neighbouring Hampstead Garden Suburb.",['New build'],3 bedroom flat for sale,/details/7708987/,https://media.onthemarket.com/properties/7708987/1324736245/image-0-480x320.jpg,"£1,600,000",True,True,/agents/contact/7708987/,/agents/contact/7708987/?form-name=details-contact,/agents/branch/savills-hampstead/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22342,Savills - Hampstead,020 8022 7310
7620023,9,,True,"Finchley Road, Golders Green, London, NW11",https://media.onthemarket.com/properties/7620023/1297121888/image-0-480x320.jpg,https://media.onthemarket.com/properties/7620023/1297121888/image-0-480x320.webp,1,"A new build development of two, three or four bedroom bespoke individually designed apartments, with underground parking, private gardens, balconies, terraces, concierge and landscaped communal gardens, located 0.1 mile from Golders Green Underground station and 0. (contd...)",['New build'],2 bedroom flat for sale,/details/7620023/,https://media.onthemarket.com/properties/7620023/1297121888/image-0-480x320.jpg,"£1,400,000",True,True,/agents/contact/7620023/,/agents/contact/7620023/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-temple-fortune/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27550,Goldschmidt & Howland - Temple Fortune,020 8022 7063
3541011,8,,True,"Finchley Road, Golders Green, London, NW11",https://media.onthemarket.com/properties/3541011/1297123042/image-0-480x320.jpg,https://media.onthemarket.com/properties/3541011/1297123042/image-0-480x320.webp,1,"A three bedroom second floor apartment comprising 1216 sq ft /113 sq mtrs of accommodation, set in a new build development of two, three and four bedroom bespoke individually designed apartments, with underground parking, private gardens, balconies, terraces, concierge and landscaped (contd...)",['New build'],3 bedroom flat for sale,/details/3541011/,https://media.onthemarket.com/properties/3541011/1297123042/image-0-480x320.jpg,"£1,270,000",True,True,/agents/contact/3541011/,/agents/contact/3541011/?form-name=details-contact,/agents/branch/goldschmidt-and-howland-temple-fortune/,False,https://media.onthemarket.com/agents/companies/393/210106165907388/logo-100x65.jpeg,27550,Goldschmidt & Howland - Temple Fortune,020 8022 7063
7112871,12,Guide price,True,"Four5Two Finchley Road, NW11",https://media.onthemarket.com/properties/7112871/1327861028/image-0-480x320.jpg,https://media.onthemarket.com/properties/7112871/1327861028/image-0-480x320.webp,1,"A three bedroom, two bathroom, first floor apartment in this deluxe new development of 13 apartments. With a contemporary design and a high spec finish Four5Two has been created for deluxe living on the borders of Hampstead and walking distance to Hampstead Heath. Backing on to Elm Park the...",['New build'],3 bedroom apartment for sale,/details/7112871/,https://media.onthemarket.com/properties/7112871/1327861028/image-0-480x320.jpg,"£1,600,000",True,True,/agents/contact/7112871/,/agents/contact/7112871/?form-name=details-contact,/agents/branch/glentree-estates/,False,https://media.onthemarket.com/agents/companies/389/150611110859670/logo-100x65.jpg,3387,Glentree Estates,020 8022 6656
7105562,12,Guide price,True,"Four5Two Finchley Road, NW11",https://media.onthemarket.com/properties/7105562/1327861027/image-0-480x320.jpg,https://media.onthemarket.com/properties/7105562/1327861027/image-0-480x320.webp,,"A three bedroom, two bathroom, first floor apartment in this deluxe new development of 13 apartments. With a contemporary design and a high spec finish Four5Two has been created for deluxe living on the borders of Hampstead and walking distance to Hampstead Heath. Backing on to Elm Park the...",['New build'],3 bedroom apartment for sale,/details/7105562/,https://media.onthemarket.com/properties/7105562/1327861027/image-0-480x320.jpg,"£1,500,000",,True,/agents/contact/7105562/,/agents/contact/7105562/?form-name=details-contact,/agents/branch/glentree-estates/,False,https://media.onthemarket.com/agents/companies/389/150611110859670/logo-100x65.jpg,3387,Glentree Estates,020 8022 6656
4488114,13,,True,"Apartment 6, Four5Two, Finchley Road, London, NW11",https://media.onthemarket.com/properties/4488114/1334707666/image-0-480x320.jpg,https://media.onthemarket.com/properties/4488114/1334707666/image-0-480x320.webp,1,"Large 3 bedroom apartment for sale

A spacious 3 bedroom open plan apartment featuring contemporary design and quality finish throughout. These apartments all have high ceilings and large terraces with park views.  

Bespoke fitted kitchens with integrated Siemens appliances. Tastefull...",['New build'],3 bedroom flat for sale,/details/4488114/,https://media.onthemarket.com/properties/4488114/1334707666/image-0-480x320.jpg,"£1,500,000",True,True,/agents/contact/4488114/,/agents/contact/4488114/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-broker-team/,False,https://media.onthemarket.com/agents/companies/5/180618174152145/logo-100x65.jpg,42119,"Knight Frank - London, Residential Development Broker Team",020 3641 9494
6882975,12,Guide price,True,"Belview Lodge, NW11",https://media.onthemarket.com/properties/6882975/1288649123/image-0-480x320.jpg,https://media.onthemarket.com/properties/6882975/1288649123/image-0-480x320.webp,1,"A stunning 3 bedroom, ground floor apartment of 1,470 sq ft available in this newly built boutique development of only 9 apartments. This apartment has a seperate kitchen and large reception, 3 generously sized bedrooms and 2 terraces with direct access to the communal gardens behind. Belview...",['New build'],3 bedroom apartment for sale,/details/6882975/,https://media.onthemarket.com/properties/6882975/1288649123/image-0-480x320.jpg,"£1,150,000",True,True,/agents/contact/6882975/,/agents/contact/6882975/?form-name=details-contact,/agents/branch/glentree-estates/,False,https://media.onthemarket.com/agents/companies/389/150611110859670/logo-100x65.jpg,3387,Glentree Estates,020 8022 6656
5849590,15,Guide price,True,"Chandos Way, Wellgarth Road, Golders Green, London, NW11",https://media.onthemarket.com/properties/5849590/1324736296/image-0-480x320.jpg,https://media.onthemarket.com/properties/5849590/1324736296/image-0-480x320.webp,1,"A new development for North London, Hampstead Reach has been designed to reflect the Arts & Crafts style of the neighbouring Hampstead Garden Suburb.",['New build'],2 bedroom flat for sale,/details/5849590/,https://media.onthemarket.com/properties/5849590/1324736296/image-0-480x320.jpg,"£995,000",True,True,/agents/contact/5849590/,/agents/contact/5849590/?form-name=details-contact,/agents/branch/savills-hampstead/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22342,Savills - Hampstead,020 8022 7310
