id,images-count,price-qualifier,new-home-flag,display_address,cover-images-default,cover-images-webp,floorplans-count,summary,property-labels,property-title,property-link,cover-image,price,floorplans?,for-sale?,agent-base-contact-url,agent-contact-url,agent-details-url,agent-development?,agent-display-logo-url,agent-id,agent-name,agent-telephone
9533667,16,Guide price,True,"Burlington Gate, Cork Street, Mayfair, W1S",https://media.onthemarket.com/properties/9533667/1338227934/image-0-480x320.jpg,https://media.onthemarket.com/properties/9533667/1338227934/image-0-480x320.webp,1,"This two bedroom apartment with stunning roof terrace is situated in the quintessentially British, Rogers Stirk Harbour + Partners designed Burlington Gate development in Mayfair.",['New build'],2 bedroom flat for sale,/details/9533667/,https://media.onthemarket.com/properties/9533667/1338227934/image-0-480x320.jpg,"£9,950,000",True,True,/agents/contact/9533667/,/agents/contact/9533667/?form-name=details-contact,/agents/branch/savills-mayfair/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22356,Savills - Mayfair,020 8022 6977
9520399,18,Guide price,True,"Pearson Square, Fitzrovia, London, W1T",https://media.onthemarket.com/properties/9520399/1337784574/image-0-480x320.jpg,https://media.onthemarket.com/properties/9520399/1337784574/image-0-480x320.webp,1,"A contemporary two bedroom apartment in this highly sought after development, in the heart of Fitzrovia.",['New build'],2 bedroom flat for sale,/details/9520399/,https://media.onthemarket.com/properties/9520399/1337784574/image-0-480x320.jpg,"£2,295,000",True,True,/agents/contact/9520399/,/agents/contact/9520399/?form-name=details-contact,/agents/branch/savills-marylebone/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22355,Savills - Marylebone,020 8022 7415
9516470,20,,True,"The Turner Mews Apartments, 14 Park Crescent, Regents Park, Marylebone, London, W1, W1B",https://media.onthemarket.com/properties/9516470/1338636049/image-0-480x320.jpg,https://media.onthemarket.com/properties/9516470/1338636049/image-0-480x320.webp,1,"A beautiful and fully furnished mews apartment with private access to 8 acres of gardens.  A beautiful fully furnished two bedroom mews apartment offering 913 sq ft living space on the second floor set within a gated new development at Park Crescent, an exciting contemporary design.    - ...",['New build'],2 bedroom flat for sale,/details/9516470/,https://media.onthemarket.com/properties/9516470/1338636049/image-0-480x320.jpg,"£2,250,000",True,True,/agents/contact/9516470/,/agents/contact/9516470/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,37788,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
9516463,17,,True,"The Turner Mews Apartments, 14 Park Crescent, Regents Park, Marylebone, London, W1, W1B",https://media.onthemarket.com/properties/9516463/1338635989/image-0-480x320.jpg,https://media.onthemarket.com/properties/9516463/1338635989/image-0-480x320.webp,1,"A beautiful and fully furnished mews apartment with private access to 8 acres of gardens.  A beautiful fully furnished one bedroom mews apartment offering 406 sq ft living space on the first floor set within a gated new development at Park Crescent, an exciting contemporary design.    - ...",['New build'],1 bedroom flat for sale,/details/9516463/,https://media.onthemarket.com/properties/9516463/1338635989/image-0-480x320.jpg,"£1,050,000",True,True,/agents/contact/9516463/,/agents/contact/9516463/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,37788,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
9516453,18,,True,"The Turner Mews Apartments, 14 Park Crescent, Regents Park, Marylebone, London, W1., W1B",https://media.onthemarket.com/properties/9516453/1338635932/image-0-480x320.jpg,https://media.onthemarket.com/properties/9516453/1338635932/image-0-480x320.webp,1,"A beautiful and fully furnished mews apartment with private access to 8 acres of gardens.  A beautiful fully furnished one bedroom mews apartment offering 499 sq ft living space on the first floor set within a gated new development at Park Crescent, an exciting contemporary design.   -  Residents...",['New build'],1 bedroom flat for sale,/details/9516453/,https://media.onthemarket.com/properties/9516453/1338635932/image-0-480x320.jpg,"£1,250,000",True,True,/agents/contact/9516453/,/agents/contact/9516453/?form-name=details-contact,/agents/branch/knight-frank-london-residential-development-prime-team/,False,https://media.onthemarket.com/agents/branches/37788/150609132036029/logo-100x65.jpg,37788,"Knight Frank - London, Residential Development Prime Team",020 8022 6440
9504473,23,Guide price,True,"Beaumont Mews, Marylebone, London, W1G",https://media.onthemarket.com/properties/9504473/1323258862/image-0-480x320.jpg,https://media.onthemarket.com/properties/9504473/1323258862/image-0-480x320.webp,1,A contemporary four bedroom townhouse of impeccable specification.,['New build'],4 bedroom terraced house for sale,/details/9504473/,https://media.onthemarket.com/properties/9504473/1323258862/image-0-480x320.jpg,"£9,950,000",True,True,/agents/contact/9504473/,/agents/contact/9504473/?form-name=details-contact,/agents/branch/savills-marylebone/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22355,Savills - Marylebone,020 8022 7415
9504471,27,Guide price,True,"Beaumont Mews, Marylebone, London, W1G",https://media.onthemarket.com/properties/9504471/1335405041/image-0-480x320.jpg,https://media.onthemarket.com/properties/9504471/1335405041/image-0-480x320.webp,1,A contemporary four bedroom townhouse of impeccable specification.,['New build'],4 bedroom terraced house for sale,/details/9504471/,https://media.onthemarket.com/properties/9504471/1335405041/image-0-480x320.jpg,"£11,500,000",True,True,/agents/contact/9504471/,/agents/contact/9504471/?form-name=details-contact,/agents/branch/savills-marylebone/,False,https://media.onthemarket.com/agents/companies/4/161109164034707/logo-100x65.png,22355,Savills - Marylebone,020 8022 7415
9487769,7,,True,"Marylebone Square, Moxon Street",https://media.onthemarket.com/properties/9487769/1322812743/image-0-480x320.jpg,https://media.onthemarket.com/properties/9487769/1322812743/image-0-480x320.webp,1,A South-East facing three-bedroom penthouse apartment set in a brand new development in the heart of Marylebone. This particular three-bedroom penthouse property is East-South facing and totals 1685 Sq.Ft with an additional 1024 Sq.Ft balcony. (contd...),['New build'],3 bedroom apartment for sale,/details/9487769/,https://media.onthemarket.com/properties/9487769/1322812743/image-0-480x320.jpg,"£7,800,000",True,True,/agents/contact/9487769/,/agents/contact/9487769/?form-name=details-contact,/agents/branch/manors-baker-street/,False,https://media.onthemarket.com/agents/branches/38570/150609132741472/logo-100x65.jpg,38570,Manors - Baker Street,020 8033 1275
9487766,8,,True,"Marylebone Square, Moxon Street",https://media.onthemarket.com/properties/9487766/1322812736/image-0-480x320.png,https://media.onthemarket.com/properties/9487766/1322812736/image-0-480x320.webp,,"Marylebone Square is a collection of 54 apartments located in the heart of Marylebone. Meticulously designed, the building has a state of the art glass roof over a central stone courtyard and indoor garden, providing one of Marylebone's finest new developments to live.",['New build'],3 bedroom apartment for sale,/details/9487766/,https://media.onthemarket.com/properties/9487766/1322812736/image-0-480x320.png,"£7,440,000",,True,/agents/contact/9487766/,/agents/contact/9487766/?form-name=details-contact,/agents/branch/manors-baker-street/,False,https://media.onthemarket.com/agents/branches/38570/150609132741472/logo-100x65.jpg,38570,Manors - Baker Street,020 8033 1275
9487764,7,,True,"Marylebone Square, Moxon Street",https://media.onthemarket.com/properties/9487764/1322812730/image-0-480x320.png,https://media.onthemarket.com/properties/9487764/1322812730/image-0-480x320.webp,1,"Marylebone Square is a collection of 54 high-end apartments, carefully chosen boutiques and restaurants, and a versatile community hall. Modern design anchored with classic detail. (contd...)",['New build'],3 bedroom apartment for sale,/details/9487764/,https://media.onthemarket.com/properties/9487764/1322812730/image-0-480x320.png,"£9,980,000",True,True,/agents/contact/9487764/,/agents/contact/9487764/?form-name=details-contact,/agents/branch/manors-baker-street/,False,https://media.onthemarket.com/agents/branches/38570/150609132741472/logo-100x65.jpg,38570,Manors - Baker Street,020 8033 1275
